ICD10	Long descriptor of ICD	GBE Name	Controls	Cases	Source	Data field	Disease group	GBE ID
F04	organic amnesic syndrome, not induced by alcohol and other psychoactive substances 	TTE_organic_amnesic_syndrome,_not_induced_by_alcohol_and_other_psychoactive_substances	502523	21	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130844.0.0.phe	130844	Mental and behavioural disorders	HC714
F05	delirium, not induced by alcohol and other psychoactive substances 	TTE_delirium,_not_induced_by_alcohol_and_other_psychoactive_substances	500952	1592	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130846.0.0.phe	130846	Mental and behavioural disorders	HC715
F06	other mental disorders due to brain damage and dysfunction and to physica	TTE_other_mental_disorders_due_to_brain_damage_and_dysfunction_and_to_physica	501771	773	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130848.0.0.phe	130848	Mental and behavioural disorders	HC716
F07	personality and behavioural disorders due to brain disease, damage and dysfunction 	TTE_personality_and_behavioural_disorders_due_to_brain_disease,_damage_and_dysfunction	502346	198	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130850.0.0.phe	130850	Mental and behavioural disorders	HC717
F09	unspecified organic or symptomatic mental disorder 	TTE_unspecified_organic_or_symptomatic_mental_disorder	502042	502	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130852.0.0.phe	130852	Mental and behavioural disorders	HC718
F10	mental and behavioural disorders due to use of alcohol 	TTE_mental_and_behavioural_disorders_due_to_use_of_alcohol	492750	9794	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130854.0.0.phe	130854	Mental and behavioural disorders	HC719
F11	mental and behavioural disorders due to use of opioids 	TTE_mental_and_behavioural_disorders_due_to_use_of_opioids	502264	280	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130856.0.0.phe	130856	Mental and behavioural disorders	HC720
F12	mental and behavioural disorders due to use of cannabinoids 	TTE_mental_and_behavioural_disorders_due_to_use_of_cannabinoids	502232	312	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130858.0.0.phe	130858	Mental and behavioural disorders	HC721
F13	mental and behavioural disorders due to use of sedatives or hypnotics 	TTE_mental_and_behavioural_disorders_due_to_use_of_sedatives_or_hypnotics	502282	262	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130860.0.0.phe	130860	Mental and behavioural disorders	HC722
F14	mental and behavioural disorders due to use of cocaine 	TTE_mental_and_behavioural_disorders_due_to_use_of_cocaine	502482	62	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130862.0.0.phe	130862	Mental and behavioural disorders	HC723
F15	mental and behavioural disorders due to use of other stimulants, including caffeine	TTE_mental_and_behavioural_disorders_due_to_use_of_other_stimulants,_including_caffeine	502477	67	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130864.0.0.phe	130864	Mental and behavioural disorders	HC724
F16	mental and behavioural disorders due to use of hallucinogens 	TTE_mental_and_behavioural_disorders_due_to_use_of_hallucinogens	502506	38	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130866.0.0.phe	130866	Mental and behavioural disorders	HC725
F17	mental and behavioural disorders due to use of tobacco 	TTE_mental_and_behavioural_disorders_due_to_use_of_tobacco	463258	39286	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130868.0.0.phe	130868	Mental and behavioural disorders	HC726
F18	mental and behavioural disorders due to use of volatile solvents 	TTE_mental_and_behavioural_disorders_due_to_use_of_volatile_solvents	502535	9	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130870.0.0.phe	130870	Mental and behavioural disorders	HC727
F19	mental and behavioural disorders due to multiple drug use and use o	TTE_mental_and_behavioural_disorders_due_to_multiple_drug_use_and_use_o	502283	261	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130872.0.0.phe	130872	Mental and behavioural disorders	HC728
F20	schizophrenia 	TTE_schizophrenia	501344	1200	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130874.0.0.phe	130874	Mental and behavioural disorders	HC729
F21	schizotypal disorder 	TTE_schizotypal_disorder	502523	21	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130876.0.0.phe	130876	Mental and behavioural disorders	HC730
F22	persistent delusional disorders 	TTE_persistent_delusional_disorders	502105	439	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130878.0.0.phe	130878	Mental and behavioural disorders	HC731
F23	acute and transient psychotic disorders 	TTE_acute_and_transient_psychotic_disorders	502279	265	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130880.0.0.phe	130880	Mental and behavioural disorders	HC732
F24	induced delusional disorder 	TTE_induced_delusional_disorder	502539	5	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130882.0.0.phe	130882	Mental and behavioural disorders	HC733
F25	schizoaffective disorders 	TTE_schizoaffective_disorders	502234	310	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130884.0.0.phe	130884	Mental and behavioural disorders	HC734
F28	other nonorganic psychotic disorders 	TTE_other_nonorganic_psychotic_disorders	502533	11	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130886.0.0.phe	130886	Mental and behavioural disorders	HC735
F29	unspecified nonorganic psychosis 	TTE_unspecified_nonorganic_psychosis	502103	441	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130888.0.0.phe	130888	Mental and behavioural disorders	HC736
F30	manic episode 	TTE_manic_episode	502088	456	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130890.0.0.phe	130890	Mental and behavioural disorders	HC737
F31	bipolar affective disorder 	TTE_bipolar_affective_disorder	500839	1705	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130892.0.0.phe	130892	Mental and behavioural disorders	HC738
F32	depressive episode 	TTE_depressive_episode	450196	52348	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130894.0.0.phe	130894	Mental and behavioural disorders	HC739
F33	recurrent depressive disorder 	TTE_recurrent_depressive_disorder	498892	3652	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130896.0.0.phe	130896	Mental and behavioural disorders	HC740
F34	persistent mood [affective] disorders 	TTE_persistent_mood_[affective]_disorders	501665	879	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130898.0.0.phe	130898	Mental and behavioural disorders	HC741
F38	other mood [affective] disorders 	TTE_other_mood_[affective]_disorders	502388	156	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130900.0.0.phe	130900	Mental and behavioural disorders	HC742
F39	unspecified mood [affective] disorder 	TTE_unspecified_mood_[affective]_disorder	501656	888	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130902.0.0.phe	130902	Mental and behavioural disorders	HC743
F40	phobic anxiety disorders 	TTE_phobic_anxiety_disorders	499485	3059	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130904.0.0.phe	130904	Mental and behavioural disorders	HC744
F41	other anxiety disorders 	TTE_other_anxiety_disorders	479554	22990	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130906.0.0.phe	130906	Mental and behavioural disorders	HC745
F42	obsessive-compulsive disorder 	TTE_obsessive-compulsive_disorder	501730	814	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130908.0.0.phe	130908	Mental and behavioural disorders	HC746
F43	reaction to severe stress, and adjustment disorders 	TTE_reaction_to_severe_stress,_and_adjustment_disorders	488204	14340	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130910.0.0.phe	130910	Mental and behavioural disorders	HC747
F44	dissociative [conversion] disorders 	TTE_dissociative_[conversion]_disorders	502264	280	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130912.0.0.phe	130912	Mental and behavioural disorders	HC748
F45	somatoform disorders 	TTE_somatoform_disorders	499579	2965	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130914.0.0.phe	130914	Mental and behavioural disorders	HC749
F48	other neurotic disorders 	TTE_other_neurotic_disorders	502190	354	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130916.0.0.phe	130916	Mental and behavioural disorders	HC750
F50	eating disorders 	TTE_eating_disorders	501636	908	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130918.0.0.phe	130918	Mental and behavioural disorders	HC751
F51	nonorganic sleep disorders 	TTE_nonorganic_sleep_disorders	502008	536	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130920.0.0.phe	130920	Mental and behavioural disorders	HC752
F52	sexual dysfunction, not caused by organic disorder or disease 	TTE_sexual_dysfunction,_not_caused_by_organic_disorder_or_disease	500397	2147	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130922.0.0.phe	130922	Mental and behavioural disorders	HC753
F53	mental and behavioural disorders associated with the puerperium, not elsewhere classified 	TTE_mental_and_behavioural_disorders_associated_with_the_puerperium,_not_elsewhere_classified	501282	1262	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130924.0.0.phe	130924	Mental and behavioural disorders	HC754
F54	psychological and behavioural factors associated with disorders or diseases classified elsewhere 	TTE_psychological_and_behavioural_factors_associated_with_disorders_or_diseases_classified_elsewhere	502536	8	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130926.0.0.phe	130926	Mental and behavioural disorders	HC755
F55	abuse of non-dependence-producing substances 	TTE_abuse_of_non-dependence-producing_substances	502524	20	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130928.0.0.phe	130928	Mental and behavioural disorders	HC756
F59	unspecified behavioural syndromes associated with physiological disturbances and physical factors 	TTE_unspecified_behavioural_syndromes_associated_with_physiological_disturbances_and_physical_factors	502541	3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130930.0.0.phe	130930	Mental and behavioural disorders	HC757
F60	specific personality disorders 	TTE_specific_personality_disorders	501856	688	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130932.0.0.phe	130932	Mental and behavioural disorders	HC758
F61	mixed and other personality disorders 	TTE_mixed_and_other_personality_disorders	502515	29	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130934.0.0.phe	130934	Mental and behavioural disorders	HC759
F62	enduring personality changes, not attributable to brain damage and disease 	TTE_enduring_personality_changes,_not_attributable_to_brain_damage_and_disease	502502	42	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130936.0.0.phe	130936	Mental and behavioural disorders	HC760
F63	habit and impulse disorders 	TTE_habit_and_impulse_disorders	502497	47	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130938.0.0.phe	130938	Mental and behavioural disorders	HC761
F64	gender identity disorders 	TTE_gender_identity_disorders	502454	90	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130940.0.0.phe	130940	Mental and behavioural disorders	HC762
F65	disorders of sexual preference 	TTE_disorders_of_sexual_preference	502515	29	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130942.0.0.phe	130942	Mental and behavioural disorders	HC763
F66	psychological and behavioural disorders associated with sexual development and orientation 	TTE_psychological_and_behavioural_disorders_associated_with_sexual_development_and_orientation	502162	382	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130944.0.0.phe	130944	Mental and behavioural disorders	HC764
F68	other disorders of adult personality and behaviour 	TTE_other_disorders_of_adult_personality_and_behaviour	502524	20	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130946.0.0.phe	130946	Mental and behavioural disorders	HC765
F69	unspecified disorder of adult personality and behaviour 	TTE_unspecified_disorder_of_adult_personality_and_behaviour	502393	151	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130948.0.0.phe	130948	Mental and behavioural disorders	HC766
F70	mild mental retardation 	TTE_mild_mental_retardation	502499	45	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130950.0.0.phe	130950	Mental and behavioural disorders	HC767
F71	moderate mental retardation 	TTE_moderate_mental_retardation	502532	12	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130952.0.0.phe	130952	Mental and behavioural disorders	HC768
F72	severe mental retardation 	TTE_severe_mental_retardation	502541	3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130954.0.0.phe	130954	Mental and behavioural disorders	HC769
F78	other mental retardation 	TTE_other_mental_retardation	502541	3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130958.0.0.phe	130958	Mental and behavioural disorders	HC770
F79	unspecified mental retardation 	TTE_unspecified_mental_retardation	502461	83	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130960.0.0.phe	130960	Mental and behavioural disorders	HC771
F80	specific developmental disorders of speech and language 	TTE_specific_developmental_disorders_of_speech_and_language	502311	233	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130962.0.0.phe	130962	Mental and behavioural disorders	HC772
F81	specific developmental disorders of scholastic skills 	TTE_specific_developmental_disorders_of_scholastic_skills	502172	372	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130964.0.0.phe	130964	Mental and behavioural disorders	HC773
F82	specific developmental disorder of motor function 	TTE_specific_developmental_disorder_of_motor_function	502528	16	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130966.0.0.phe	130966	Mental and behavioural disorders	HC774
F84	pervasive developmental disorders 	TTE_pervasive_developmental_disorders	502353	191	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130970.0.0.phe	130970	Mental and behavioural disorders	HC775
F88	other disorders of psychological development 	TTE_other_disorders_of_psychological_development	502541	3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130972.0.0.phe	130972	Mental and behavioural disorders	HC776
F89	unspecified disorder of psychological development 	TTE_unspecified_disorder_of_psychological_development	502539	5	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130974.0.0.phe	130974	Mental and behavioural disorders	HC777
F90	hyperkinetic disorders 	TTE_hyperkinetic_disorders	502501	43	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130976.0.0.phe	130976	Mental and behavioural disorders	HC778
F91	conduct disorders 	TTE_conduct_disorders	502401	143	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130978.0.0.phe	130978	Mental and behavioural disorders	HC779
F92	mixed disorders of conduct and emotions 	TTE_mixed_disorders_of_conduct_and_emotions	502539	5	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130980.0.0.phe	130980	Mental and behavioural disorders	HC780
F93	emotional disorders with onset specific to childhood 	TTE_emotional_disorders_with_onset_specific_to_childhood	502521	23	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130982.0.0.phe	130982	Mental and behavioural disorders	HC781
F94	disorders of social functioning with onset specific to childhood and adolescence 	TTE_disorders_of_social_functioning_with_onset_specific_to_childhood_and_adolescence	502541	3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130984.0.0.phe	130984	Mental and behavioural disorders	HC782
F95	tic disorders 	TTE_tic_disorders	502505	39	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130986.0.0.phe	130986	Mental and behavioural disorders	HC783
F98	other behavioural and emotional disorders with onset usually occurring in childhood an	TTE_other_behavioural_and_emotional_disorders_with_onset_usually_occurring_in_childhood_an	502393	151	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130988.0.0.phe	130988	Mental and behavioural disorders	HC784
F99	mental disorder, not otherwise specified 	TTE_mental_disorder,_not_otherwise_specified	502180	364	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130990.0.0.phe	130990	Mental and behavioural disorders	HC785
G00	bacterial meningitis, not elsewhere classified 	TTE_bacterial_meningitis,_not_elsewhere_classified	502351	193	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130992.0.0.phe	130992	Nervous system disorders	HC786
G01	meningitis in bacterial diseases classified elsewhere 	TTE_meningitis_in_bacterial_diseases_classified_elsewhere	502489	55	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130994.0.0.phe	130994	Nervous system disorders	HC787
G02	meningitis in other infectious and parasitic diseases classified elsewhere 	TTE_meningitis_in_other_infectious_and_parasitic_diseases_classified_elsewhere	502458	86	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130996.0.0.phe	130996	Nervous system disorders	HC788
G03	meningitis due to other and unspecified causes 	TTE_meningitis_due_to_other_and_unspecified_causes	500200	2344	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130998.0.0.phe	130998	Nervous system disorders	HC789
G04	encephalitis, myelitis and encephalomyelitis 	TTE_encephalitis,_myelitis_and_encephalomyelitis	501856	688	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131000.0.0.phe	131000	Nervous system disorders	HC790
G05	encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere 	TTE_encephalitis,_myelitis_and_encephalomyelitis_in_diseases_classified_elsewhere	502463	81	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131002.0.0.phe	131002	Nervous system disorders	HC791
G06	intracranial and intraspinal abscess and granuloma 	TTE_intracranial_and_intraspinal_abscess_and_granuloma	502251	293	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131004.0.0.phe	131004	Nervous system disorders	HC792
G07	intracranial and intraspinal abscess and granuloma in diseases classified elsewhere 	TTE_intracranial_and_intraspinal_abscess_and_granuloma_in_diseases_classified_elsewhere	502538	6	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131006.0.0.phe	131006	Nervous system disorders	HC793
G08	intracranial and intraspinal phlebitis and thrombophlebitis 	TTE_intracranial_and_intraspinal_phlebitis_and_thrombophlebitis	502463	81	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131008.0.0.phe	131008	Nervous system disorders	HC794
G09	sequelae of inflammatory diseases of central nervous system 	TTE_sequelae_of_inflammatory_diseases_of_central_nervous_system	502471	73	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131010.0.0.phe	131010	Nervous system disorders	HC795
G10	huntington's disease 	TTE_huntington's_disease	502500	44	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131012.0.0.phe	131012	Nervous system disorders	HC796
G11	hereditary ataxia 	TTE_hereditary_ataxia	502231	313	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131014.0.0.phe	131014	Nervous system disorders	HC797
G12	spinal muscular atrophy and related syndromes 	TTE_spinal_muscular_atrophy_and_related_syndromes	502040	504	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131016.0.0.phe	131016	Nervous system disorders	HC798
G13	systemic atrophies primarily affecting central nervous system in diseases classified elsewhere 	TTE_systemic_atrophies_primarily_affecting_central_nervous_system_in_diseases_classified_elsewhere	502520	24	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131018.0.0.phe	131018	Nervous system disorders	HC799
G14	postpolio syndrome 	TTE_postpolio_syndrome	502506	38	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131020.0.0.phe	131020	Nervous system disorders	HC800
G20	parkinson's disease 	TTE_parkinson's_disease	500176	2368	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131022.0.0.phe	131022	Nervous system disorders	HC801
G21	secondary parkinsonism 	TTE_secondary_parkinsonism	502427	117	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131024.0.0.phe	131024	Nervous system disorders	HC802
G22	parkinsonism in diseases classified elsewhere 	TTE_parkinsonism_in_diseases_classified_elsewhere	502540	4	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131026.0.0.phe	131026	Nervous system disorders	HC803
G23	other degenerative diseases of basal ganglia 	TTE_other_degenerative_diseases_of_basal_ganglia	502394	150	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131028.0.0.phe	131028	Nervous system disorders	HC804
G24	dystonia 	TTE_dystonia	501455	1089	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131030.0.0.phe	131030	Nervous system disorders	HC805
G25	other extrapyramidal and movement disorders 	TTE_other_extrapyramidal_and_movement_disorders	498068	4476	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131032.0.0.phe	131032	Nervous system disorders	HC806
G30	alzheimer's disease 	TTE_alzheimer's_disease	501419	1125	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131036.0.0.phe	131036	Nervous system disorders	HC807
G31	other degenerative diseases of nervous system, not elsewhere classified 	TTE_other_degenerative_diseases_of_nervous_system,_not_elsewhere_classified	501162	1382	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131038.0.0.phe	131038	Nervous system disorders	HC808
G32	other degenerative disorders of nervous system in diseases classified elsewhere 	TTE_other_degenerative_disorders_of_nervous_system_in_diseases_classified_elsewhere	502516	28	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131040.0.0.phe	131040	Nervous system disorders	HC809
G35	multiple sclerosis 	TTE_multiple_sclerosis	500174	2370	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131042.0.0.phe	131042	Nervous system disorders	HC810
G36	other acute disseminated demyelination 	TTE_other_acute_disseminated_demyelination	502510	34	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131044.0.0.phe	131044	Nervous system disorders	HC811
G37	other demyelinating diseases of central nervous system 	TTE_other_demyelinating_diseases_of_central_nervous_system	501948	596	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131046.0.0.phe	131046	Nervous system disorders	HC812
G40	epilepsy 	TTE_epilepsy	495272	7272	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131048.0.0.phe	131048	Nervous system disorders	HC813
G41	status epilepticus 	TTE_status_epilepticus	502290	254	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131050.0.0.phe	131050	Nervous system disorders	HC814
G43	migraine 	TTE_migraine	478217	24327	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131052.0.0.phe	131052	Nervous system disorders	HC815
G44	other headache syndromes 	TTE_other_headache_syndromes	496877	5667	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131054.0.0.phe	131054	Nervous system disorders	HC816
G45	transient cerebral ischaemic attacks and related syndromes 	TTE_transient_cerebral_ischaemic_attacks_and_related_syndromes	494289	8255	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131056.0.0.phe	131056	Nervous system disorders	HC817
G46	vascular syndromes of brain in cerebrovascular diseases 	TTE_vascular_syndromes_of_brain_in_cerebrovascular_diseases	502343	201	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131058.0.0.phe	131058	Nervous system disorders	HC818
G47	sleep disorders 	TTE_sleep_disorders	485826	16718	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131060.0.0.phe	131060	Nervous system disorders	HC819
G50	disorders of trigeminal nerve 	TTE_disorders_of_trigeminal_nerve	499567	2977	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131062.0.0.phe	131062	Nervous system disorders	HC820
G51	facial nerve disorders 	TTE_facial_nerve_disorders	499386	3158	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131064.0.0.phe	131064	Nervous system disorders	HC821
G52	disorders of other cranial nerves 	TTE_disorders_of_other_cranial_nerves	502094	450	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131066.0.0.phe	131066	Nervous system disorders	HC822
G53	cranial nerve disorders in diseases classified elsewhere 	TTE_cranial_nerve_disorders_in_diseases_classified_elsewhere	502399	145	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.131068.0.0.phe	131068	Nervous system disorders	HC823
