Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
					Aspartate aminotransferase assay date	30651									474903	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30651
					Aspartate aminotransferase aliquot	30652									474694	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30652
					Aspartate aminotransferase correction level	30653									469133	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30653
					Aspartate aminotransferase correction reason	30654									469133	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30654
					Aspartate aminotransferase missing reason	30655									25740	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30655
					Aspartate aminotransferase reportability	30656									469147	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30656
					Direct bilirubin	30660									401049	Accruing	Continuous	umol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30660
					Direct bilirubin assay date	30661									474422	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30661
					Direct bilirubin aliquot	30662									474213	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30662
					Direct bilirubin correction level	30663									401049	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30663
					Direct bilirubin correction reason	30664									401049	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30664
					Direct bilirubin missing reason	30665									96310	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30665
					Direct bilirubin reportability	30666									469272	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30666
					Urea	30670									470562	Accruing	Continuous	mmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30670
					Urea assay date	30671									474589	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30671
					Urea aliquot	30672									474380	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30672
					Urea correction level	30673									470562	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30673
					Urea correction reason	30674									470562	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30674
					Urea missing reason	30675									24228	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30675
					Urea reportability	30676									470572	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30676
					Calcium	30680									432211	Accruing	Continuous	mmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30680
					Calcium assay date	30681									474432	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30681
					Calcium aliquot	30682									474223	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30682
					Calcium correction level	30683									432211	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30683
					Calcium correction reason	30684									432211	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30684
					Calcium missing reason	30685									65344	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30685
					Calcium reportability	30686									432269	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30686
					Cholesterol	30690									470870	Accruing	Continuous	mmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30690
					Cholesterol assay date	30691									474841	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30691
					Cholesterol aliquot	30692									474632	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30692
					Cholesterol correction level	30693									470870	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30693
					Cholesterol correction reason	30694									470870	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30694
					Cholesterol missing reason	30695									23885	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30695
					Cholesterol reportability	30696									470877	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30696
					Creatinine	30700									470647	Accruing	Continuous	umol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30700
					Creatinine assay date	30701									474598	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30701
					Creatinine aliquot	30702									474389	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30702
					Creatinine correction level	30703									470647	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30703
					Creatinine correction reason	30704									470647	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30704
					Creatinine missing reason	30705									24150	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30705
					Creatinine reportability	30706									470647	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30706
					C-reactive protein	30710									469881	Accruing	Continuous	mg/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30710
					C-reactive protein assay date	30711									474450	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30711
					C-reactive protein aliquot	30712									474241	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30712
					C-reactive protein correction level	30713									469881	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30713
					C-reactive protein correction reason	30714									469881	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30714
					C-reactive protein missing reason	30715									24942	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30715
					C-reactive protein reportability	30716									470287	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30716
					Cystatin C	30720									470841	Accruing	Continuous	mg/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30720
					Cystatin C assay date	30721									474759	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30721
					Cystatin C aliquot	30722									474549	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30722
					Cystatin C correction level	30723									470841	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30723
					Cystatin C correction reason	30724									470841	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30724
					Cystatin C missing reason	30725									23928	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30725
					Cystatin C reportability	30726									470856	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30726
					Gamma glutamyltransferase	30730									470628	Accruing	Continuous	U/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30730
					Gamma glutamyltransferase assay date	30731									474740	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30731
					Gamma glutamyltransferase aliquot	30732									474531	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30732
					Gamma glutamyltransferase correction level	30733									470628	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30733
					Gamma glutamyltransferase correction reason	30734									470628	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30734
					Gamma glutamyltransferase missing reason	30735									24146	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30735
					Gamma glutamyltransferase reportability	30736									470722	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30736
					Glucose	30740									431865	Accruing	Continuous	mmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30740
					Glucose assay date	30741									474171	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30741
					Glucose aliquot	30742									473962	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30742
					Glucose correction level	30743									431865	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30743
					Glucose correction reason	30744									431865	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30744
					Glucose missing reason	30745									65708	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30745
					Glucose reportability	30746									431873	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30746
					Glycated haemoglobin (HbA1c)	30750									467936	Accruing	Continuous	mmol/mol	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30750
					Glycated haemoglobin (HbA1c) assay date	30751									483371	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30751
					Glycated haemoglobin (HbA1c) correction level	30753									467936	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30753
					Glycated haemoglobin (HbA1c) correction reason	30754									467936	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30754
					Glycated haemoglobin (HbA1c) missing reason	30755									30399	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30755
					Glycated haemoglobin (HbA1c) reportability	30756									468131	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30756
					HDL cholesterol	30760									432156	Accruing	Continuous	mmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30760
					HDL cholesterol assay date	30761									474677	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30761
					HDL cholesterol aliquot	30762									474468	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30762
					HDL cholesterol correction level	30763									432156	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30763
					HDL cholesterol correction reason	30764									432156	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30764
					HDL cholesterol missing reason	30765									65395	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30765
					HDL cholesterol reportability	30766									432162	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30766
					IGF-1	30770									468409	Accruing	Continuous	nmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30770
					IGF-1 assay date	30771									472319	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30771
					IGF-1 aliquot	30772									472108	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30772
					IGF-1 correction level	30773									468409	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30773
					IGF-1 correction reason	30774									468409	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30774
					IGF-1 missing reason	30775									26596	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30775
					IGF-1 reportability	30776									468415	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30776
					LDL direct	30780									470032	Accruing	Continuous	mmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30780
					LDL direct assay date	30781									474111	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30781
					LDL direct aliquot	30782									473902	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30782
					LDL direct correction level	30783									470032	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30783
					LDL direct correction reason	30784									470032	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30784
					LDL direct missing reason	30785									24802	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30785
					LDL direct reportability	30786									470039	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30786
					Lipoprotein A	30790									377680	Accruing	Continuous	nmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30790
					Lipoprotein A assay date	30791									460507	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30791
					Lipoprotein A aliquot	30792									460300	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30792
					Lipoprotein A correction level	30793									377680	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30793
					Lipoprotein A correction reason	30794									377680	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30794
					Lipoprotein A missing reason	30795									118802	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30795
					Lipoprotein A reportability	30796									456876	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30796
					Oestradiol	30800									77719	Accruing	Continuous	pmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30800
					Oestradiol assay date	30801									442807	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30801
					Oestradiol aliquot	30802									442616	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30802
					Oestradiol correction level	30803									77719	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30803
					Oestradiol correction reason	30804									77719	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30804
					Oestradiol missing reason	30805									417460	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30805
					Oestradiol reportability	30806									439827	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30806
					Phosphate	30810									431546	Accruing	Continuous	mmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30810
					Phosphate assay date	30811									473939	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30811
					Phosphate aliquot	30812									473730	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30812
					Phosphate correction level	30813									431546	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30813
					Phosphate correction reason	30814									431546	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30814
					Phosphate missing reason	30815									66052	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30815
					Phosphate reportability	30816									431558	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30816
					Rheumatoid factor	30820									41991	Accruing	Continuous	IU/ml	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30820
					Rheumatoid factor assay date	30821									474062	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30821
					Rheumatoid factor aliquot	30822									473853	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30822
					Rheumatoid factor correction level	30823									41991	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30823
					Rheumatoid factor correction reason	30824									41991	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30824
					Rheumatoid factor missing reason	30825									451526	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30825
					Rheumatoid factor reportability	30826									470846	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30826
					SHBG	30830									428197	Accruing	Continuous	nmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30830
					SHBG assay date	30831									470599	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30831
					SHBG aliquot	30832									470391	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30832
					SHBG correction level	30833									428197	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30833
					SHBG correction reason	30834									428197	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30834
					SHBG missing reason	30835									69590	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30835
					SHBG reportability	30836									428925	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30836
					Total bilirubin	30840									468910	Accruing	Continuous	umol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30840
					Total bilirubin assay date	30841									474547	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30841
					Total bilirubin aliquot	30842									474338	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30842
					Total bilirubin correction level	30843									468910	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30843
					Total bilirubin correction reason	30844									468910	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30844
					Total bilirubin missing reason	30845									26007	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30845
					Total bilirubin reportability	30846									468928	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30846
					Testosterone	30850									427085	Accruing	Continuous	nmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30850
					Testosterone assay date	30851									470752	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30851
					Testosterone aliquot	30852									470540	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30852
					Testosterone correction level	30853									427085	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30853
					Testosterone correction reason	30854									427085	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30854
					Testosterone missing reason	30855									69062	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30855
					Testosterone reportability	30856									467067	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30856
					Total protein	30860									431892	Accruing	Continuous	g/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30860
					Total protein assay date	30861									474388	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30861
					Total protein aliquot	30862									474179	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30862
					Total protein correction level	30863									431892	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30863
					Total protein correction reason	30864									431892	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30864
					Total protein missing reason	30865									65666	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30865
					Total protein reportability	30866									431909	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30866
					Triglycerides	30870									470500	Accruing	Continuous	mmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30870
					Triglycerides assay date	30871									474562	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30871
					Triglycerides aliquot	30872									474353	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30872
					Triglycerides correction level	30873									470500	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30873
					Triglycerides correction reason	30874									470500	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30874
					Triglycerides missing reason	30875									24291	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30875
					Triglycerides reportability	30876									470639	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30876
					Urate	30880									470321	Accruing	Continuous	umol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30880
					Urate assay date	30881									474397	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30881
					Urate aliquot	30882									474188	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30882
					Urate correction level	30883									470321	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30883
					Urate correction reason	30884									470321	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30884
					Urate missing reason	30885									24496	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30885
					Urate reportability	30886									470452	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30886
					Vitamin D	30890									449978	Accruing	Continuous	nmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30890
					Vitamin D assay date	30891									474592	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30891
