Annotator	Annotation date	Name	GBE ID	Field	BasketID	TableID	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Notes
				Which eye(s) affected by strabismus (squint)			6205									2964	Complete	Categorical single		Primary	Unisex	4	1	100515	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6205	
Guhan	12/5/18	Impedance_of_whole_body,_manual_entry	INI6218	Impedance of whole body, manual entry		11140	6218	1		1						28	Complete	Integer	ohm	Supporting	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6218	
Guhan	12/5/18	Impedance_of_leg,_manual_entry_(right)	INI6219	Impedance of leg, manual entry (right)		11140	6219	1		1						28	Complete	Integer	ohm	Supporting	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6219	
Guhan	12/5/18	Impedance_of_leg,_manual_entry_(left)	INI6220	Impedance of leg, manual entry (left)		11140	6220	1		1						28	Complete	Integer	ohm	Supporting	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6220	
Guhan	12/5/18	Impedance_of_arm,_manual_entry_(right)	INI6221	Impedance of arm, manual entry (right)		11140	6221	1		1						28	Complete	Integer	ohm	Supporting	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6221	
Guhan	12/5/18	Impedance_of_arm,_manual_entry_(left)	INI6222	Impedance of arm, manual entry (left)		11140	6222	1		1						28	Complete	Integer	ohm	Supporting	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6222	
				Item selected for each puzzle			6332									20366	Accruing	Categorical multiple		Primary	Unisex	1	15	6332	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6332	
				Duration spent answering each puzzle			6333									20366	Accruing	Integer	deciseconds	Primary	Unisex	1	15		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6333	
				Screen layout			6334									20610	Accruing	Text		Primary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6334	
				Number of puzzles correctly solved			6373									20367	Accruing	Integer	correct-answers	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6373	
				Number of puzzles viewed			6374									20367	Accruing	Integer	attempts	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6374	
				Number of antibiotics taken in last 3 months			6671									26510	Ongoing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6671	
				Medication for pain relief, constipation, heartburn (pilot)			10004									3771	Complete	Categorical multiple		Primary	Unisex	1	5	100688	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10004	
				Medication for smoking cessation, constipation, heartburn, allergies (pilot)			10005									3771	Complete	Categorical multiple		Primary	Unisex	1	3	100689	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10005	
				Mouth/teeth dental problems (pilot)			10006									3771	Complete	Categorical multiple		Primary	Unisex	1	4	100685	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10006	
				Vitamin and mineral supplements (pilot)			10007									3771	Complete	Categorical multiple		Primary	Unisex	1	6	100692	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10007	
		Regular_use_of_hands-free_device/speakerphone_with_mobile_phone_(pilot)	BIN_FC10010016	Regular use of hands-free device/speakerphone with mobile phone (pilot)		10137	10016	0	1		1	-1,-3		1	0	2955	Complete	Categorical single	Data		Unisex	1	1	100349	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10016	"ACE touchscreen question ""Do you use a hands-free device/speakerphone regularly, i.e. for more than half the calls you make or receive on a mobile phone?"""
		Internet_user_(pilot)	BIN_FC10010105	Internet user (pilot)		10137	10105	0	1		1	-3		1	0	3776	Complete	Categorical single	Data		Unisex	1	1	100352	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10105	"ACE touchscreen question ""Do you use the internet?"""
		Willing_to_be_contacted_by_email_(pilot)	BIN_FC10010114	Willing to be contacted by email (pilot)		10137	10114	0	1		1	-3		1	0	3776	Complete	Categorical single	Data		Unisex	1	1	100352	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10114	"ACE touchscreen question ""Would you be willing for the study organisers to contact you in the future by email?""   This question was asked in the Pilot assessment centre (2006) only to gauge the best methods for re-contacting participants."
				Why stopped smoking (pilot)			10115									930	Complete	Categorical single		Primary	Unisex	1	1	100669	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10115	
				Type of progestan-only oral contraceptive used (pilot)			10132									44	Complete	Categorical single		Primary	Female	1	1	100686	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10132	
				Number of columns displayed in round (pilot)			10133									3717	Complete	Integer		Auxiliary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10133	
				Number of rows displayed in round (pilot)			10134									3717	Complete	Integer		Auxiliary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10134	
				Number of correct matches in round (pilot)			10136									3717	Complete	Integer		Primary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10136	
				Number of incorrect matches in round (pilot)			10137									3717	Complete	Integer		Primary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10137	
				Time to complete round (pilot)			10138									3717	Complete	Integer	deciseconds	Primary	Unisex	1	3	402	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10138	
				Index for card A in round (pilot)			10139									3717	Complete	Categorical single		Auxiliary	Unisex	1	20	92	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10139	
				Index for card B in round (pilot)			10140									3717	Complete	Categorical single		Auxiliary	Unisex	1	20	92	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10140	
				Number of times snap-button pressed (pilot)			10141									3717	Complete	Integer		Primary	Unisex	1	20		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10141	
				Duration to first press of snap-button in each round (pilot)			10147									3704	Complete	Integer	milliseconds	Primary	Unisex	1	20		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10147	
		Number_of_words_beginning_with_'S'_(pilot)	INI10612	Number of words beginning with 'S' (pilot)		9797	10612	1	0	1		-1				3750	Complete	Integer	Data		Unisex	1	1	100696	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10612	Number of words beginning with 'S', or -1 if abandoned
				Result ranking (pilot)			10691									3418	Complete	Categorical single		Primary	Unisex	1	4	22	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10691	
				Acceptability of each blow result (pilot)			10693									3418	Complete	Integer		Auxiliary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10693	
Guhan	11/26/18	Forced_vital_capacity_(FVC)_(pilot)	INI10694	Forced vital capacity (FVC) (pilot)		9797	10694	1		1						3421	Complete	Continuous	litres	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10694	
Guhan	11/26/18	Forced_expiratory_volume_in_1-second_(FEV1)_(pilot)	INI10695	Forced expiratory volume in 1-second (FEV1) (pilot)		9797	10695	1		1						3421	Complete	Continuous	litres	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10695	
Guhan	11/26/18	Peak_expiratory_flow_(PEF)_(pilot)	INI10696	Peak expiratory flow (PEF) (pilot)		9797	10696	1		1						3421	Complete	Integer		Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10696	
				Data points for blow (pilot)			10697									3418	Complete	Compound		Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10697	
				Spirometry method (pilot)			10711									3432	Complete	Categorical single		Primary	Unisex	1	1	100282	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10711	
				Spirometry device serial number (pilot)			10714									3427	Complete	Text		Auxiliary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10714	
				Number of measurements made (pilot)			10717									3427	Complete	Integer		Supporting	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10717	
				Illness, injury, bereavement, stress in last 2 years (pilot)			10721									3771	Complete	Categorical multiple		Primary	Unisex	1	5	100683	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10721	
				Vitamin supplements (pilot)			10723									3771	Complete	Categorical multiple		Primary	Unisex	1	6	100691	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10723	
				Frequency of friend/family visits (pilot)			10740									3771	Complete	Categorical single		Primary	Unisex	1	1	100662	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10740	
				Time using mobile phone in last 3 months (pilot)			10749									2950	Complete	Categorical single		Primary	Unisex	1	1	100663	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10749	
				Spread type (pilot)			10767									3771	Complete	Categorical single		Primary	Unisex	1	1	100673	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10767	
				Bread type/intake (pilot)			10776									3654	Complete	Categorical single		Primary	Unisex	1	1	100674	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10776	
		Hearing_difficulty/problems_(pilot)	BIN_FC10010793	Hearing difficulty/problems (pilot)		9797	10793	0	1		1	-1,-3		1	0	3776	Complete	Categorical single	Data		Unisex	1	1	100349	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10793	"ACE touchscreen question ""Do you have any difficulty with your hearing?"""
				Reason for reducing amount of alcohol drunk (pilot)			10818									1515	Complete	Categorical single		Primary	Unisex	1	1	100669	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10818	
				Ever stopped smoking for 6+ months (pilot)			10827									930	Complete	Categorical single		Primary	Unisex	1	1	100668	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10827	
		Gestational_diabetes_only_(pilot)	BIN_FC10010844	Gestational diabetes only (pilot)		9797	10844	0	1		1	-1,-3		1	0	63	Complete	Categorical single	Data		Female	1	1	100349	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10844	"ACE touchscreen question ""Did you only have diabetes during pregnancy?"""
				Reason former drinker stopped drinking alcohol (pilot)			10853									138	Complete	Categorical single		Primary	Unisex	1	1	100669	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10853	
				Other dietary supplements (pilot)			10854									3771	Complete	Categorical multiple		Primary	Unisex	1	6	100690	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10854	
				Never eat eggs, dairy, wheat, sugar (pilot)			10855									3771	Complete	Categorical multiple		Primary	Unisex	1	4	100672	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10855	
				Difference in mobile phone use compared to one year previously (pilot)			10886									2950	Complete	Categorical single		Primary	Unisex	1	1	100664	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10886	
		Light_smokers,_at_least_100_smokes_in_lifetime_(pilot)	BIN_FC10010895	Light smokers, at least 100 smokes in lifetime (pilot)		9797	10895	0	1		1	-3		1	0	935	Complete	Categorical single	Data		Unisex	1	1	100352	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10895	"ACE touchscreen question ""In your lifetime, have you smoked a total of at least 100 cigarettes or equivalent?"""
				Variation in diet (pilot)			10912									3771	Complete	Categorical single		Primary	Unisex	1	1	100394	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10912	
				Duration of walks (pilot)			10953									3635	Complete	Categorical single		Primary	Unisex	1	1	100659	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10953	
				Duration of moderate physical activity (pilot)			10962									3045	Complete	Categorical single		Primary	Unisex	1	1	100659	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10962	
				Duration of vigorous physical activity (pilot)			10971									1980	Complete	Categorical single		Primary	Unisex	1	1	100659	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10971	
Guhan	11/9/18	Believed_safe_to_perform_brain_MRI_scan	BIN12139	Believed safe to perform brain MRI scan		25279	12139		1		1	9		0	1	29472	Accruing	Categorical single		Primary	Unisex	1	1	634	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12139	
				Believed safe to perform abdominal MRI scan			12140									43178	Accruing	Categorical single		Primary	Unisex	2	1	634	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12140	
				Believed safe to perform DXA scan			12141									43178	Accruing	Categorical single		Primary	Unisex	2	1	634	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12141	
				Weight (pre-imaging)			12143									43178	Accruing	Integer	Kg	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12143	
Guhan	11/26/18	Height	INI12144	Height		9797	12144	1		1						29472	Accruing	Integer	cm	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12144	
Guhan	11/9/18	Brain_MRI_measuring_method	BIN_FC10012187	Brain MRI measuring method		25279	12187		3		1			0	6;7	28874	Accruing	Categorical single		Primary	Unisex	1	1	470	 	
Guhan	11/9/18	Brain_MRI_measuring_method	BIN_FC20012187	Brain MRI measuring method		25279	12187		3		2	7		6	0	28874	Accruing	Categorical single		Primary	Unisex	1	1	470	 	
Guhan	11/9/18	Brain_MRI_measuring_method	BIN_FC30012187	Brain MRI measuring method		25279	12187		3		3	6		7	0	28874	Accruing	Categorical single		Primary	Unisex	1	1	470	 	
Guhan	11/9/18	Brain_MRI_measurement_completed	BIN12188	Brain MRI measurement completed		25279	12188		1		1	-1		1	0	27581	Accruing	Categorical single		Primary	Unisex	1	1	21	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12188	
				Abdominal MRI measuring method			12223									42406	Accruing	Categorical single		Primary	Unisex	2	1	470	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12223	
				Abdominal MRI measurement completed			12224									41288	Accruing	Categorical single		Primary	Unisex	2	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12224	
				DXA measuring method			12253									42989	Accruing	Categorical single		Primary	Unisex	2	1	470	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12253	
				DXA measurement completed			12254									41716	Accruing	Categorical single		Primary	Unisex	2	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12254	
				Carotid ultrasound measuring method			12291									42959	Accruing	Categorical single		Primary	Unisex	2	1	470	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12291	
				Carotid ultrasound measurement completed			12292									42224	Accruing	Categorical single		Primary	Unisex	2	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12292	
Guhan	11/9/18	12-lead_ECG_measuring_method	BIN_FC10012323	12-lead ECG measuring method		25279	12323		3		1			0	6;7	29096	Accruing	Categorical single		Primary	Unisex	1	1	470	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12323	
Guhan	11/9/18	12-lead_ECG_measuring_method	BIN_FC20012323	12-lead ECG measuring method		25279	12323		3		2	7		6	0	29096	Accruing	Categorical single		Primary	Unisex	1	1	470	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12323	
Guhan	11/9/18	12-lead_ECG_measuring_method	BIN_FC30012323	12-lead ECG measuring method		25279	12323		3		3	6		7	0	29096	Accruing	Categorical single		Primary	Unisex	1	1	470	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12323	
Guhan	11/26/18	Ventricular_rate	INI12336	Ventricular rate		10137	12336	1		1						25071	Accruing	Integer	bpm	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12336	
Guhan	11/26/18	P_duration	INI12338	P duration		10137	12338	1		1						23842	Accruing	Integer	ms	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12338	
Guhan	11/26/18	QRS_duration	INI12340	QRS duration		10137	12340	1		1						25071	Accruing	Integer	ms	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12340	
				Identifier for blood pressure device			12624									42467	Accruing	Text		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12624	
				Duration of eprime test			12651									34921	Accruing	Integer	seconds	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12651	
				ECG automated diagnoses			12653									37663	Accruing	Text		Primary	Unisex	2	15		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12653	
Matt	11/9/18	Number_of_automated_diagnostic_comments_recorded_during_12-lead_ECG	INI12654	Number of automated diagnostic comments recorded during 12-lead ECG		25279	12654	1		1						25066	Accruing	Integer		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12654	
				Suspicious flag for 12-lead ECG			12657									1876	Accruing	Integer		Auxiliary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12657	
				Identifier for 12-lead ECG device			12658									42722	Accruing	Text		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12658	
				PWA start time			12671									29192	Accruing	Text		Auxiliary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12671	
				Heart rate during PWA			12673									29186	Accruing	Integer	bpm	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12673	
				Systolic brachial blood pressure during PWA			12674									29010	Accruing	Integer	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12674	
				Diastolic brachial blood pressure during PWA			12675									29010	Accruing	Integer	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12675	
				Peripheral pulse pressure during PWA			12676									29006	Accruing	Integer	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12676	
				Central systolic blood pressure during PWA			12677									29009	Accruing	Integer	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12677	
				Central pulse pressure during PWA			12678									29006	Accruing	Integer	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12678	
				Number of beats in waveform average for PWA			12679									29191	Accruing	Continuous	beats	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12679	
				Central augmentation pressure during PWA			12680									29001	Accruing	Continuous	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12680	
				Augmentation index for PWA			12681									29186	Accruing	Continuous	percent	Derived	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12681	
				Cardiac output during PWA			12682									28488	Accruing	Continuous	litres/min	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12682	
				End systolic pressure during PWA			12683									28936	Accruing	Continuous	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12683	
				End systolic pressure index during PWA			12684									28468	Accruing	Continuous		Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12684	
				Total peripheral resistance during PWA			12685									28935	Accruing	Continuous	PRU	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12685	
				Stroke volume during PWA			12686									28493	Accruing	Integer	ml	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12686	
				Mean arterial pressure during PWA			12687									29009	Accruing	Integer	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12687	
				Vicorder trace			12688									29456	Accruing	Compound		Auxiliary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12688	
				Blood pressure test start time			12695									29359	Accruing	Text		Auxiliary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12695	
				Systolic brachial blood pressure			12697									29353	Accruing	Integer	mmHg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12697	
				Diastolic brachial blood pressure			12698									29355	Accruing	Integer	mmHg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12698	
				Number of PWA tests performed			12699									29456	Accruing	Integer	tests	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12699	
				Vicorder results plausible			12700									29456	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12700	
				Cardiac index during PWA			12702									28012	Accruing	Continuous	litres/min/m2	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12702	
				Eprime error flag			12706									314	Accruing	Categorical single		Derived	Unisex	2	1	100699	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12706	
				Cancer code, self-reported			20001									45224	Complete	Categorical multiple		Derived	Unisex	4	6	3	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20001	
				Non-cancer illness code, self-reported			20002									384906	Complete	Categorical multiple		Derived	Unisex	4	34	6	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20002	
				Treatment/medication code			20003									372258	Complete	Categorical multiple		Primary	Unisex	4	48	4	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20003	
				Operation code			20004									398015	Complete	Categorical multiple		Derived	Unisex	4	32	5	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20004	
				Interpolated Year when cancer first diagnosed			20006									45224	Complete	Continuous	years	Primary	Unisex	4	6	13	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20006	
				Interpolated Age of participant when cancer first diagnosed			20007									45224	Complete	Continuous	years	Primary	Unisex	4	6	13	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20007	
				Interpolated Year when non-cancer illness first diagnosed			20008									384905	Complete	Continuous	years	Primary	Unisex	4	34	13	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20008	
				Interpolated Age of participant when non-cancer illness first diagnosed			20009									384905	Complete	Continuous	years	Primary	Unisex	4	34	13	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20009	
				Interpolated Year when operation took place			20010									398013	Complete	Continuous	years	Primary	Unisex	4	32	13	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20010	
				Interpolated Age of participant when operation took place			20011									398013	Complete	Continuous	years	Primary	Unisex	4	32	13	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20011	
				Method of recording time when cancer first diagnosed			20012									45224	Complete	Categorical single		Primary	Unisex	4	6	14	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20012	
				Method of recording time when non-cancer illness first diagnosed			20013									384906	Complete	Categorical single		Primary	Unisex	4	34	14	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20013	
				Method of recording time when operation occurred			20014									398015	Complete	Categorical single		Primary	Unisex	4	32	14	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20014	
Guhan	11/26/18	Sitting_height	INI20015	Sitting height		9797	20015	1		1						497091	Complete	Continuous	cm	Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20015	
Guhan	11/26/18	Fluid_intelligence_score	INI20016	Fluid intelligence score		9797	20016	1		1						193806	Complete	Integer	correct-answers	Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20016	
		Prospective_memory_result	BIN_FC10020018			9797	20018	1	2		1			0,2	1									18	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=18	
		Prospective_memory_result	BIN_FC20020018			9797	20018	1	2		2			0	2,1									18	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=18	
		Prospective_memory_result	QT_FC10020018			9797	20018	1	1	1			0;2;1											18	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=18	
Guhan	11/26/18	Speech-reception-threshold_(SRT)_estimate_(left)	INI20019	Speech-reception-threshold (SRT) estimate (left)		9797	20019	1		1						192260	Complete	Continuous		Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20019	
Guhan	11/26/18	Speech-reception-threshold_(SRT)_estimate_(right)	INI20021	Speech-reception-threshold (SRT) estimate (right)		9797	20021	1		1						192286	Complete	Continuous		Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20021	
Guhan	4/9/19	Birth_weight	INI20022			10137	20022	1		1															http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20022	
				Mean time to correctly identify matches			20023									496846	Complete	Integer	milliseconds	Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20023	
				Acceptability of each blow result (text)			20031									295061	Complete	Text		Derived	Unisex	4	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20031	
				Acceptability of each blow result (text) (pilot)			20032									2653	Complete	Text		Derived	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20032	
				Reason for skipping weight			20041									1044	Complete	Categorical single		Derived	Unisex	1	1	47	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20041	
				Reason for skipping spirometry			20042									2013	Complete	Categorical single		Derived	Unisex	1	1	47	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20042	
				Reason for skipping grip strength (right)			20043									1628	Complete	Categorical single		Derived	Unisex	1	1	47	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20043	
				Reason for skipping grip strength (left)			20044									1695	Complete	Categorical single		Derived	Unisex	1	1	47	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20044	
				Reason for skipping waist			20045									445	Complete	Categorical single		Derived	Unisex	1	1	47	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20045	
				Reason for skipping hip measurement			20046									504	Complete	Categorical single		Derived	Unisex	1	1	47	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20046	
				Reason for skipping standing height			20047									824	Complete	Categorical single		Derived	Unisex	1	1	47	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20047	
				Reason for skipping sitting height			20048									843	Complete	Categorical single		Derived	Unisex	1	1	47	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20048	
				Reason for skipping arterial stiffness			20051									931	Complete	Categorical single		Derived	Unisex	1	1	51	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20051	
				Reason for skipping refractometry (left)			20052									1520	Complete	Categorical single		Derived	Unisex	1	1	54	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20052	
				Reason for skipping IOP (right)			20053									2403	Complete	Categorical single		Derived	Unisex	1	1	54	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20053	
				Reason for skipping IOP (left)			20054									2596	Complete	Categorical single		Derived	Unisex	1	1	54	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20054	
				Reason for skipping refractometry (right)			20055									1399	Complete	Categorical single		Derived	Unisex	1	1	54	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20055	
				Reason for skipping visual acuity (right)			20056									410	Complete	Categorical single		Derived	Unisex	1	1	56	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20056	
