Annotator	Annotation date	Name	GBE ID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
				Area of lateraloccipital (left hemisphere)	26933									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26933
				Area of lateralorbitofrontal (left hemisphere)	26934									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26934
				Area of lingual (left hemisphere)	26935									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26935
				Area of medialorbitofrontal (left hemisphere)	26936									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26936
				Area of middletemporal (left hemisphere)	26937									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26937
				Area of parahippocampal (left hemisphere)	26938									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26938
				Area of paracentral (left hemisphere)	26939									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26939
				Area of parsopercularis (left hemisphere)	26940									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26940
				Area of parsorbitalis (left hemisphere)	26941									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26941
				Area of parstriangularis (left hemisphere)	26942									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26942
				Area of pericalcarine (left hemisphere)	26943									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26943
				Area of postcentral (left hemisphere)	26944									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26944
				Area of posteriorcingulate (left hemisphere)	26945									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26945
				Area of precentral (left hemisphere)	26946									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26946
				Area of precuneus (left hemisphere)	26947									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26947
				Area of rostralanteriorcingulate (left hemisphere)	26948									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26948
				Area of rostralmiddlefrontal (left hemisphere)	26949									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26949
				Area of superiorfrontal (left hemisphere)	26950									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26950
				Area of superiorparietal (left hemisphere)	26951									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26951
				Area of superiortemporal (left hemisphere)	26952									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26952
				Area of supramarginal (left hemisphere)	26953									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26953
				Area of frontalpole (left hemisphere)	26954									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26954
				Area of transversetemporal (left hemisphere)	26955									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26955
				Area of TotalSurface (right hemisphere)	26956									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26956
				Area of bankssts (right hemisphere)	26957									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26957
				Area of caudalanteriorcingulate (right hemisphere)	26958									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26958
				Area of caudalmiddlefrontal (right hemisphere)	26959									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26959
				Area of cuneus (right hemisphere)	26960									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26960
				Area of entorhinal (right hemisphere)	26961									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26961
				Area of fusiform (right hemisphere)	26962									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26962
				Area of inferiorparietal (right hemisphere)	26963									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26963
				Area of inferiortemporal (right hemisphere)	26964									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26964
				Area of isthmuscingulate (right hemisphere)	26965									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26965
				Area of lateraloccipital (right hemisphere)	26966									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26966
				Area of lateralorbitofrontal (right hemisphere)	26967									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26967
				Area of lingual (right hemisphere)	26968									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26968
				Area of medialorbitofrontal (right hemisphere)	26969									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26969
				Area of middletemporal (right hemisphere)	26970									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26970
				Area of parahippocampal (right hemisphere)	26971									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26971
				Area of paracentral (right hemisphere)	26972									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26972
				Area of parsopercularis (right hemisphere)	26973									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26973
				Area of parsorbitalis (right hemisphere)	26974									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26974
				Area of parstriangularis (right hemisphere)	26975									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26975
				Area of pericalcarine (right hemisphere)	26976									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26976
				Area of postcentral (right hemisphere)	26977									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26977
				Area of posteriorcingulate (right hemisphere)	26978									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26978
				Area of precentral (right hemisphere)	26979									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26979
				Area of precuneus (right hemisphere)	26980									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26980
				Area of rostralanteriorcingulate (right hemisphere)	26981									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26981
				Area of rostralmiddlefrontal (right hemisphere)	26982									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26982
				Area of superiorfrontal (right hemisphere)	26983									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26983
				Area of superiorparietal (right hemisphere)	26984									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26984
				Area of superiortemporal (right hemisphere)	26985									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26985
				Area of supramarginal (right hemisphere)	26986									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26986
				Area of frontalpole (right hemisphere)	26987									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26987
				Area of transversetemporal (right hemisphere)	26988									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26988
				Grey-white contrast in unknown (left hemisphere)	26989									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26989
				Grey-white contrast in bankssts (left hemisphere)	26990									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26990
				Grey-white contrast in caudalanteriorcingulate (left hemisphere)	26991									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26991
				Grey-white contrast in caudalmiddlefrontal (left hemisphere)	26992									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26992
				Grey-white contrast in cuneus (left hemisphere)	26993									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26993
				Grey-white contrast in entorhinal (left hemisphere)	26994									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26994
				Grey-white contrast in fusiform (left hemisphere)	26995									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26995
				Grey-white contrast in inferiorparietal (left hemisphere)	26996									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26996
				Grey-white contrast in inferiortemporal (left hemisphere)	26997									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26997
				Grey-white contrast in isthmuscingulate (left hemisphere)	26998									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26998
				Grey-white contrast in lateraloccipital (left hemisphere)	26999									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26999
				Grey-white contrast in lateralorbitofrontal (left hemisphere)	27000									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27000
				Grey-white contrast in lingual (left hemisphere)	27001									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27001
				Grey-white contrast in medialorbitofrontal (left hemisphere)	27002									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27002
				Grey-white contrast in middletemporal (left hemisphere)	27003									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27003
				Grey-white contrast in parahippocampal (left hemisphere)	27004									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27004
				Grey-white contrast in paracentral (left hemisphere)	27005									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27005
				Grey-white contrast in parsopercularis (left hemisphere)	27006									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27006
				Grey-white contrast in parsorbitalis (left hemisphere)	27007									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27007
				Grey-white contrast in parstriangularis (left hemisphere)	27008									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27008
				Grey-white contrast in pericalcarine (left hemisphere)	27009									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27009
				Grey-white contrast in postcentral (left hemisphere)	27010									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27010
				Grey-white contrast in posteriorcingulate (left hemisphere)	27011									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27011
				Grey-white contrast in precentral (left hemisphere)	27012									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27012
				Grey-white contrast in precuneus (left hemisphere)	27013									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27013
				Grey-white contrast in rostralanteriorcingulate (left hemisphere)	27014									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27014
				Grey-white contrast in rostralmiddlefrontal (left hemisphere)	27015									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27015
				Grey-white contrast in superiorfrontal (left hemisphere)	27016									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27016
				Grey-white contrast in superiorparietal (left hemisphere)	27017									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27017
				Grey-white contrast in superiortemporal (left hemisphere)	27018									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27018
				Grey-white contrast in supramarginal (left hemisphere)	27019									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27019
				Grey-white contrast in frontalpole (left hemisphere)	27020									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27020
				Grey-white contrast in temporalpole (left hemisphere)	27021									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27021
				Grey-white contrast in transversetemporal (left hemisphere)	27022									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27022
				Grey-white contrast in insula (left hemisphere)	27023									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27023
				Grey-white contrast in unknown (right hemisphere)	27024									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27024
				Grey-white contrast in bankssts (right hemisphere)	27025									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27025
				Grey-white contrast in caudalanteriorcingulate (right hemisphere)	27026									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27026
				Grey-white contrast in caudalmiddlefrontal (right hemisphere)	27027									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27027
				Grey-white contrast in cuneus (right hemisphere)	27028									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27028
				Grey-white contrast in entorhinal (right hemisphere)	27029									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27029
				Grey-white contrast in fusiform (right hemisphere)	27030									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27030
				Grey-white contrast in inferiorparietal (right hemisphere)	27031									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27031
				Grey-white contrast in inferiortemporal (right hemisphere)	27032									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27032
				Grey-white contrast in isthmuscingulate (right hemisphere)	27033									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27033
				Grey-white contrast in lateraloccipital (right hemisphere)	27034									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27034
				Grey-white contrast in lateralorbitofrontal (right hemisphere)	27035									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27035
				Grey-white contrast in lingual (right hemisphere)	27036									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27036
				Grey-white contrast in medialorbitofrontal (right hemisphere)	27037									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27037
				Grey-white contrast in middletemporal (right hemisphere)	27038									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27038
				Grey-white contrast in parahippocampal (right hemisphere)	27039									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27039
				Grey-white contrast in paracentral (right hemisphere)	27040									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27040
				Grey-white contrast in parsopercularis (right hemisphere)	27041									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27041
				Grey-white contrast in parsorbitalis (right hemisphere)	27042									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27042
				Grey-white contrast in parstriangularis (right hemisphere)	27043									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27043
				Grey-white contrast in pericalcarine (right hemisphere)	27044									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27044
				Grey-white contrast in postcentral (right hemisphere)	27045									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27045
				Grey-white contrast in posteriorcingulate (right hemisphere)	27046									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27046
				Grey-white contrast in precentral (right hemisphere)	27047									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27047
				Grey-white contrast in precuneus (right hemisphere)	27048									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27048
				Grey-white contrast in rostralanteriorcingulate (right hemisphere)	27049									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27049
				Grey-white contrast in rostralmiddlefrontal (right hemisphere)	27050									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27050
				Grey-white contrast in superiorfrontal (right hemisphere)	27051									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27051
				Grey-white contrast in superiorparietal (right hemisphere)	27052									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27052
				Grey-white contrast in superiortemporal (right hemisphere)	27053									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27053
				Grey-white contrast in supramarginal (right hemisphere)	27054									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27054
				Grey-white contrast in frontalpole (right hemisphere)	27055									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27055
				Grey-white contrast in temporalpole (right hemisphere)	27056									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27056
				Grey-white contrast in transversetemporal (right hemisphere)	27057									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27057
				Grey-white contrast in insula (right hemisphere)	27058									21915	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27058
				Area of BA1 (left hemisphere)	27059									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27059
				Area of BA2 (left hemisphere)	27060									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27060
				Area of BA3a (left hemisphere)	27061									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27061
				Area of BA3b (left hemisphere)	27062									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27062
				Area of BA4a (left hemisphere)	27063									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27063
				Area of BA4p (left hemisphere)	27064									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27064
				Area of BA6 (left hemisphere)	27065									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27065
				Area of BA44 (left hemisphere)	27066									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27066
				Area of BA45 (left hemisphere)	27067									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27067
				Area of V1 (left hemisphere)	27068									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27068
				Area of V2 (left hemisphere)	27069									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27069
				Area of MT (left hemisphere)	27070									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27070
				Area of perirhinal (left hemisphere)	27071									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27071
				Area of entorhinal (left hemisphere)	27072									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27072
				Mean thickness of BA1 (left hemisphere)	27073									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27073
				Mean thickness of BA2 (left hemisphere)	27074									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27074
				Mean thickness of BA3a (left hemisphere)	27075									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27075
				Mean thickness of BA3b (left hemisphere)	27076									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27076
				Mean thickness of BA4a (left hemisphere)	27077									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27077
				Mean thickness of BA4p (left hemisphere)	27078									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27078
				Mean thickness of BA6 (left hemisphere)	27079									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27079
				Mean thickness of BA44 (left hemisphere)	27080									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27080
				Mean thickness of BA45 (left hemisphere)	27081									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27081
				Mean thickness of V1 (left hemisphere)	27082									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27082
				Mean thickness of V2 (left hemisphere)	27083									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27083
				Mean thickness of MT (left hemisphere)	27084									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27084
				Mean thickness of perirhinal (left hemisphere)	27085									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27085
				Mean thickness of entorhinal (left hemisphere)	27086									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27086
				Volume of BA1 (left hemisphere)	27087									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27087
