acetaminophen_generic	MED1000000014
ropinirole_generic	MED1000000863
gliquidone_generic	MED1000000864
fluspirilene_generic	MED1000000865
ergotamine_generic	MED1000000866
chloramphenicol_generic	MED1000000867
enoxacin_generic	MED1000000868
thiethylperazine_generic	MED1000000869
bethanechol_generic	MED1000000870
sirolimus_generic	MED1000000871
thyrotropin_generic	MED1000000872
mycophenolate_mofetil_generic	MED1000000873
disopyramide_generic	MED1000000874
galantamine_generic	MED1000000875
hydroxyzine_generic	MED1000000876
ertapenem_generic	MED1000000877
kaolin_generic	MED1000000878
celiprolol_generic	MED1000000879
hydralazine_generic	MED1000000880
moexipril_generic	MED1000000881
butethal_generic	MED1000000882
somatropin_recombinant_generic	MED1000000883
hydroquinone_generic	MED1000000884
eplerenone_generic	MED1000000885
gramicidin_d_generic	MED1000000886
dromostanolone_generic	MED1000000887
ampicillin_generic	MED1000000888
gonadorelin_generic	MED1000000889
polymyxin_b_sulfate_generic	MED1000000890
vidarabine_generic	MED1000000891
isosorbide_dinitrate_generic	MED1000000892
isoetharine_generic	MED1000000893
nitrazepam_generic	MED1000000894
teicoplanin_generic	MED1000000895
isoniazid_generic	MED1000000896
guanethidine_generic	MED1000000897
chloroquine_generic	MED1000000898
pentoxifylline_generic	MED1000000899
cabergoline_generic	MED1000000900
imatinib_generic	MED1000000901
acebutolol_generic	MED1000000902
propofol_generic	MED1000000903
itraconazole_generic	MED1000000904
tetracycline_generic	MED1000000905
pyrimethamine_generic	MED1000000906
chlordiazepoxide_generic	MED1000000907
efavirenz_generic	MED1000000908
duloxetine_generic	MED1000000909
mebendazole_generic	MED1000000910
aprepitant_generic	MED1000000911
acetazolamide_generic	MED1000000912
flutamide_generic	MED1000000913
dextroamphetamine_generic	MED1000000914
terfenadine_generic	MED1000000915
glycerin_generic	MED1000000916
metronidazole_generic	MED1000000917
triamterene_generic	MED1000000918
glucagon_recombinant_generic	MED1000000919
phentermine_generic	MED1000000920
mycophenolic_acid_generic	MED1000000921
epinastine_generic	MED1000000922
fluocinolone_acetonide_generic	MED1000000923
penicillamine_generic	MED1000000924
cefadroxil_generic	MED1000000925
dinoprostone_generic	MED1000000926
podophyllum_generic	MED1000000927
isoproterenol_generic	MED1000000928
aztreonam_generic	MED1000000929
atovaquone_generic	MED1000000930
estriol_generic	MED1000000931
