Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
					Arm total mass (right)	23256									4350	Accruing	Continuous	kg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23256
					Arms fat mass	23257									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23257
					Arms lean mass	23258									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23258
					Arms tissue fat percentage	23259									5170	Accruing	Continuous	percent	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23259
					Arms total mass	23260									5170	Accruing	Continuous	kg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23260
					Gynoid bone mass	23261									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23261
					Gynoid fat mass	23262									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23262
					Gynoid lean mass	23263									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23263
					Gynoid tissue fat percentage	23264									5170	Accruing	Continuous	percent	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23264
					Gynoid total mass	23265									5170	Accruing	Continuous	kg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23265
					Leg fat mass (left)	23266									4350	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23266
					Leg lean mass (left)	23267									4350	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23267
					Leg tissue fat percentage (left)	23268									4350	Accruing	Continuous	percent	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23268
					Leg total mass (left)	23269									4350	Accruing	Continuous	kg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23269
					Leg fat mass (right)	23270									4350	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23270
					Leg lean mass (right)	23271									4350	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23271
					Leg tissue fat percentage (right)	23272									4350	Accruing	Continuous	percent	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23272
					Leg total mass (right)	23273									4350	Accruing	Continuous	kg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23273
					Legs fat mass	23274									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23274
					Legs lean mass	23275									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23275
					Legs tissue fat percentage	23276									5170	Accruing	Continuous	percent	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23276
					Legs total mass	23277									5170	Accruing	Continuous	kg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23277
					Total fat mass	23278									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23278
					Total fat-free mass	23279									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23279
					Total lean mass	23280									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23280
					Total tissue fat percentage	23281									5170	Accruing	Continuous	percent	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23281
					Total tissue mass	23282									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23282
					Total mass	23283									5170	Accruing	Continuous	kg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23283
					Trunk fat mass	23284									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23284
					Trunk lean mass	23285									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23285
					Trunk tissue fat percentage	23286									5170	Accruing	Continuous	percent	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23286
					Trunk total mass	23287									5170	Accruing	Continuous	kg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23287
					VAT (visceral adipose tissue) mass	23288									5109	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23288
					VAT (visceral adipose tissue) volume	23289									5109	Accruing	Integer	cm3	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23289
					Femur shaft BMD (bone mineral density) (left)	23290									5165	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23290
					Femur total BMD (bone mineral density) (left)	23291									5165	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23291
					Femur upper neck BMD (bone mineral density) (left)	23292									2345	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23292
					Femur total BMD (bone mineral density) T-score (left)	23293									5134	Accruing	Continuous	Std.Devs	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23293
					Femur troch BMD (bone mineral density) (left)	23295									5183	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23295
					Femur upper neck BMD (bone mineral density) T-score (left)	23296									2335	Accruing	Continuous	Std.Devs	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23296
					Femur troch BMD (bone mineral density) T-score (left)	23298									5151	Accruing	Continuous	Std.Devs	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23298
					Femur neck BMD (bone mineral density) (left)	23299									5183	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23299
					Femur neck BMD (bone mineral density) T-score (left)	23300									5152	Accruing	Continuous	Std.Devs	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23300
					Femur lower neck BMD (bone mineral density) (left)	23302									2345	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23302
					Trunk bone area	23304									5170	Accruing	Continuous	cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23304
					Head bone area	23305									5170	Accruing	Continuous	cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23305
					Pelvis bone area	23307									5170	Accruing	Continuous	cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23307
					Ribs bone area	23309									5170	Accruing	Continuous	cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23309
					Spine bone area	23311									5170	Accruing	Continuous	cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23311
					Arm bone area (left)	23313									4350	Accruing	Continuous	cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23313
					Arm bone area (right)	23314									4350	Accruing	Continuous	cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23314
					Leg bone area (left)	23315									4350	Accruing	Continuous	cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23315
					Leg bone area (right)	23316									4350	Accruing	Continuous	cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23316
					Arms combined bone area	23317									5170	Accruing	Continuous	cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23317
					Legs combined bone area	23318									5170	Accruing	Continuous	cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23318
					Volumetric scaling from T1 head image to standard space	25000									21408	Accruing	Continuous	ratio	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25000
					Volume of peripheral cortical grey matter (normalised for head size)	25001									21408	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25001
					Volume of peripheral cortical grey matter	25002									21408	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25002
					Volume of ventricular cerebrospinal fluid (normalised for head size)	25003									21408	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25003
					Volume of ventricular cerebrospinal fluid	25004									21408	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25004
					Volume of grey matter (normalised for head size)	25005									21408	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25005
					Volume of grey matter	25006									21408	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25006
					Volume of white matter (normalised for head size)	25007									21408	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25007
					Volume of white matter	25008									21408	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25008
					Volume of brain, grey+white matter (normalised for head size)	25009									21408	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25009
					Volume of brain, grey+white matter	25010									21408	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25010
					Volume of thalamus (left)	25011									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25011
					Volume of thalamus (right)	25012									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25012
					Volume of caudate (left)	25013									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25013
					Volume of caudate (right)	25014									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25014
					Volume of putamen (left)	25015									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25015
					Volume of putamen (right)	25016									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25016
					Volume of pallidum (left)	25017									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25017
					Volume of pallidum (right)	25018									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25018
					Volume of hippocampus (left)	25019									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25019
					Volume of hippocampus (right)	25020									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25020
					Volume of amygdala (left)	25021									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25021
					Volume of amygdala (right)	25022									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25022
					Volume of accumbens (left)	25023									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25023
					Volume of accumbens (right)	25024									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25024
					Volume of brain stem + 4th ventricle	25025									21391	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25025
					Median T2star in thalamus (left)	25026									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25026
					Median T2star in thalamus (right)	25027									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25027
					Median T2star in caudate (left)	25028									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25028
					Median T2star in caudate (right)	25029									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25029
					Median T2star in putamen (left)	25030									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25030
					Median T2star in putamen (right)	25031									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25031
					Median T2star in pallidum (left)	25032									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25032
					Median T2star in pallidum (right)	25033									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25033
					Median T2star in hippocampus (left)	25034									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25034
					Median T2star in hippocampus (right)	25035									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25035
					Median T2star in amygdala (left)	25036									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25036
					Median T2star in amygdala (right)	25037									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25037
					Median T2star in accumbens (left)	25038									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25038
					Median T2star in accumbens (right)	25039									19665	Accruing	Continuous	ms	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25039
					Median BOLD effect (in group-defined mask) for shapes activation	25040									18664	Accruing	Continuous	percent	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25040
					Median z-statistic (in group-defined mask) for shapes activation	25042									18664	Accruing	Continuous	Z	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25042
					Median BOLD effect (in group-defined mask) for faces activation	25044									18664	Accruing	Continuous	percent	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25044
					Median z-statistic (in group-defined mask) for faces activation	25046									18664	Accruing	Continuous	Z	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25046
					Median BOLD effect (in group-defined mask) for faces-shapes contrast	25048									18664	Accruing	Continuous	percent	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25048
					Median z-statistic (in group-defined mask) for faces-shapes contrast	25050									18664	Accruing	Continuous	Z	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25050
					Median BOLD effect (in group-defined amygdala activation mask) for faces-shapes contrast	25052									18664	Accruing	Continuous	percent	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25052
					Median z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast	25054									18664	Accruing	Continuous	Z	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25054
					Mean FA in middle cerebellar peduncle on FA skeleton	25056									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25056
					Mean FA in pontine crossing tract on FA skeleton	25057									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25057
					Mean FA in genu of corpus callosum on FA skeleton	25058									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25058
					Mean FA in body of corpus callosum on FA skeleton	25059									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25059
					Mean FA in splenium of corpus callosum on FA skeleton	25060									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25060
					Mean FA in fornix on FA skeleton	25061									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25061
					Mean FA in corticospinal tract on FA skeleton (right)	25062									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25062
					Mean FA in corticospinal tract on FA skeleton (left)	25063									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25063
					Mean FA in medial lemniscus on FA skeleton (right)	25064									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25064
					Mean FA in medial lemniscus on FA skeleton (left)	25065									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25065
					Mean FA in inferior cerebellar peduncle on FA skeleton (right)	25066									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25066
					Mean FA in inferior cerebellar peduncle on FA skeleton (left)	25067									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25067
					Mean FA in superior cerebellar peduncle on FA skeleton (right)	25068									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25068
					Mean FA in superior cerebellar peduncle on FA skeleton (left)	25069									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25069
					Mean FA in cerebral peduncle on FA skeleton (right)	25070									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25070
					Mean FA in cerebral peduncle on FA skeleton (left)	25071									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25071
					Mean FA in anterior limb of internal capsule on FA skeleton (right)	25072									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25072
					Mean FA in anterior limb of internal capsule on FA skeleton (left)	25073									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25073
					Mean FA in posterior limb of internal capsule on FA skeleton (right)	25074									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25074
					Mean FA in posterior limb of internal capsule on FA skeleton (left)	25075									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25075
					Mean FA in retrolenticular part of internal capsule on FA skeleton (right)	25076									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25076
					Mean FA in retrolenticular part of internal capsule on FA skeleton (left)	25077									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25077
					Mean FA in anterior corona radiata on FA skeleton (right)	25078									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25078
					Mean FA in anterior corona radiata on FA skeleton (left)	25079									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25079
					Mean FA in superior corona radiata on FA skeleton (right)	25080									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25080
					Mean FA in superior corona radiata on FA skeleton (left)	25081									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25081
					Mean FA in posterior corona radiata on FA skeleton (right)	25082									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25082
					Mean FA in posterior corona radiata on FA skeleton (left)	25083									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25083
					Mean FA in posterior thalamic radiation on FA skeleton (right)	25084									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25084
					Mean FA in posterior thalamic radiation on FA skeleton (left)	25085									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25085
					Mean FA in sagittal stratum on FA skeleton (right)	25086									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25086
					Mean FA in sagittal stratum on FA skeleton (left)	25087									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25087
					Mean FA in external capsule on FA skeleton (right)	25088									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25088
					Mean FA in external capsule on FA skeleton (left)	25089									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25089
					Mean FA in cingulum cingulate gyrus on FA skeleton (right)	25090									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25090
					Mean FA in cingulum cingulate gyrus on FA skeleton (left)	25091									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25091
					Mean FA in cingulum hippocampus on FA skeleton (right)	25092									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25092
					Mean FA in cingulum hippocampus on FA skeleton (left)	25093									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25093
					Mean FA in fornix cres+stria terminalis on FA skeleton (right)	25094									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25094
					Mean FA in fornix cres+stria terminalis on FA skeleton (left)	25095									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25095
					Mean FA in superior longitudinal fasciculus on FA skeleton (right)	25096									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25096
					Mean FA in superior longitudinal fasciculus on FA skeleton (left)	25097									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25097
					Mean FA in superior fronto-occipital fasciculus on FA skeleton (right)	25098									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25098
					Mean FA in superior fronto-occipital fasciculus on FA skeleton (left)	25099									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25099
					Mean FA in uncinate fasciculus on FA skeleton (right)	25100									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25100
					Mean FA in uncinate fasciculus on FA skeleton (left)	25101									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25101
					Mean FA in tapetum on FA skeleton (right)	25102									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25102
					Mean FA in tapetum on FA skeleton (left)	25103									19396	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25103
					Mean ICVF in middle cerebellar peduncle on FA skeleton	25344									19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25344
					Mean ICVF in pontine crossing tract on FA skeleton	25345									19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25345
					Mean ICVF in genu of corpus callosum on FA skeleton	25346									19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25346
					Mean ICVF in body of corpus callosum on FA skeleton	25347									19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25347
					Mean ICVF in splenium of corpus callosum on FA skeleton	25348									19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25348
					Mean ICVF in fornix on FA skeleton	25349									19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25349
					Mean ICVF in corticospinal tract on FA skeleton (right)	25350									19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25350
					Mean ICVF in corticospinal tract on FA skeleton (left)	25351									19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25351
					Mean ICVF in medial lemniscus on FA skeleton (right)	25352									19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25352
