Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,4080,"Systolic blood pressure, automated reading",474268,1026503,Complete,Integer,mmHg,Data,Primary,Unisex,3,2,,"Blood pressure, automated reading, systolic. Two measures of blood pressure were taken a few moments apart.   Range returned by the Omron device is is 0-255",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4080
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,4081,Method of measuring blood pressure,501685,1108561,Complete,Categorical single,"",Data,Auxiliary,Unisex,3,2,100259,"Blood pressure, method of collecting reading",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4081
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4092,Heel ultrasound method (left),205319,227450,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100260,Method used for the Ultrasound Bone Densitometry of left heel,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4092
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4093,Fractured heel (left),197939,218729,Complete,Categorical single,"",Data,Primary,Unisex,3,1,27,This field indicates whether the left heel had ever been fractured.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4093
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4095,Heel ultrasound method (right),205319,227450,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100260,Method used for the Ultrasound Bone Densitometry of right heel,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4095
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4096,Fractured heel (right),198178,219124,Complete,Categorical single,"",Data,Primary,Unisex,3,1,27,This field indicates whether the right heel had ever been fractured.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4096
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4100,Ankle spacing width (left),194246,214125,Complete,Continuous,mm,Data,Primary,Unisex,3,1,,Left ankle width as indicated by the spacing between measurement transducer pads on heel,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4100
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4101,Heel broadband ultrasound attenuation (left),194236,214115,Complete,Continuous,dB/MHz,Data,Primary,Unisex,3,1,,Broadband ultrasound attenuation through left heel,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4101
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4103,Speed of sound through heel (left),194246,214125,Complete,Continuous,m/s,Data,Supporting,Unisex,3,1,,Speed of sound through left ankle Typically 1450-1700 m/s,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4103
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4104,"Heel quantitative ultrasound index (QUI), direct entry (left)",194246,214125,Complete,Continuous,"",Data,Primary,Unisex,3,1,,The QUI or 'stiffness' is based on measure of the speed of sound and broadband ultrasound attenuation. Direct entry.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4104
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4105,Heel bone mineral density (BMD) (left),194124,213980,Complete,Continuous,g/cm2,Data,Primary,Unisex,3,1,,Estimation of bone mineral density (BMD) in the left heel is based on the Quantitative Ultrasound Index through the calcaneus. Direct entry.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4105
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4106,"Heel bone mineral density (BMD) T-score, automated (left)",194246,214125,Complete,Continuous,Std.Devs,Data,Primary,Unisex,3,1,,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4106
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4119,Ankle spacing width (right),194397,214433,Complete,Continuous,mm,Data,Primary,Unisex,3,1,,Right ankle width as indicated by the spacing between measurement transducer pads on heel,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4119
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4120,Heel broadband ultrasound attenuation (right),194385,214419,Complete,Continuous,dB/MHz,Data,Primary,Unisex,3,1,,Broadband ultrasound attenuation through right heel,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4120
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4122,Speed of sound through heel (right),194397,214433,Complete,Continuous,m/s,Data,Supporting,Unisex,3,1,,"Speed of sound through right ankle, m/s Typically 1450-1700 m/s",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4122
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4123,"Heel quantitative ultrasound index (QUI), direct entry (right)",194397,214433,Complete,Continuous,"",Data,Primary,Unisex,3,1,,The QUI or 'stiffness' is based on measure of the speed of sound and broadband ultrasound attenuation. Direct entry.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4123
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4124,Heel bone mineral density (BMD) (right),194267,214285,Complete,Continuous,g/cm2,Data,Primary,Unisex,3,1,,Estimation of bone mineral density (BMD) in the left heel is based on the Quantitative Ultrasound Index through the calcaneus. Direct entry.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4124
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4125,"Heel bone mineral density (BMD) T-score, automated (right)",194397,214433,Complete,Continuous,Std.Devs,Data,Primary,Unisex,3,1,,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4125
UK Biobank Assessment Centre > Physical measures > Arterial stiffness,100007,4136,Arterial pulse-wave stiffness device ID,205319,227450,Complete,Text,"",Data,Auxiliary,Unisex,3,1,,Stiffness device ID,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4136
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4138,"Heel bone mineral density (BMD) T-score, manual entry (left)",4582,4587,Complete,Continuous,Std.Devs,Data,Primary,Unisex,3,1,,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4138
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4139,"Heel quantitative ultrasound index (QUI), manual entry (left)",4582,4587,Complete,Continuous,"",Data,Primary,Unisex,3,1,,The QUI or 'stiffness' is based on measure of the speed of sound and broadband ultrasound attenuation. Manual entry.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4139
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4140,"Heel bone mineral density (BMD), manual entry (left)",4582,4587,Complete,Continuous,g/cm2,Data,Primary,Unisex,3,1,,Estimation of bone mineral density (BMD) in the left heel is based on the Quantitative Ultrasound Index through the calcaneus. Manual entry.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4140
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4141,"Heel broadband ultrasound attenuation (BUA), manual entry (left)",4582,4587,Complete,Continuous,dB/MHz,Data,Primary,Unisex,3,1,,Left heel BUA (manual entry),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4141
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4142,"Speed of sound through heel, manual entry (left)",4582,4587,Complete,Continuous,m/s,Data,Supporting,Unisex,3,1,,Speed of sound through left ankle   Typically 1450-1700 m/s,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4142
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4143,"Heel bone mineral density (BMD) T-score, manual entry (right)",4672,4679,Complete,Continuous,Std.Devs,Data,Primary,Unisex,3,1,,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4143
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4144,"Heel quantitative ultrasound index (QUI), manual entry (right)",4672,4679,Complete,Continuous,"",Data,Primary,Unisex,3,1,,The QUI or 'stiffness' is based on measure of the speed of sound and broadband ultrasound attenuation. Manual entry.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4144
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4145,"Heel bone mineral density (BMD), manual entry (right)",4672,4679,Complete,Continuous,g/cm2,Data,Primary,Unisex,3,1,,Estimation of bone mineral density (BMD) in the right heel is based on the Quantitative Ultrasound Index through the calcaneus. Manual entry.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4145
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4146,"Heel broadband ultrasound attenuation (BUA), manual entry (right)",4672,4679,Complete,Continuous,dB/MHz,Data,Primary,Unisex,3,1,,Right heel BUA (manual entry),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4146
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,4147,"Speed of sound through heel, manual entry (right)",4672,4679,Complete,Continuous,m/s,Data,Supporting,Unisex,3,1,,Speed of sound through right ankle   Typically 1450-1700 m/s,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4147
UK Biobank Assessment Centre > Physical measures > Arterial stiffness,100007,4186,Stiffness method,204246,225741,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100263,"Stiffness method described whether the measure was perfomed, and if so, whether the data was entered into the machine directly or manually.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4186
UK Biobank Assessment Centre > Physical measures > Arterial stiffness,100007,4194,Pulse rate,201468,222276,Complete,Integer,bpm,Data,Primary,Unisex,3,1,,Pulse rate during arterial stiffness measurement,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4194
UK Biobank Assessment Centre > Physical measures > Arterial stiffness,100007,4195,Pulse wave reflection index,201468,222276,Complete,Integer,"",Data,Primary,Unisex,3,1,,reflection index is a measure of reflection A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. if 'b' is the height of direct wave peak and 'a' is the height of reflected wave peak the reflected index = (a/b) * 100%,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4195
UK Biobank Assessment Centre > Physical measures > Arterial stiffness,100007,4196,Pulse wave peak to peak time,201362,222143,Complete,Integer,milliseconds,Data,Primary,Unisex,3,1,,peak to peak time in milliseconds A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. peak to peak time is the difference between the peak values of direct and reflected components.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4196
UK Biobank Assessment Centre > Physical measures > Arterial stiffness,100007,4198,Position of the pulse wave peak,201468,222276,Complete,Integer,"",Data,Auxiliary,Unisex,3,1,,position of the peak A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. This field is the time when the peak occurs in the waveform.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4198
UK Biobank Assessment Centre > Physical measures > Arterial stiffness,100007,4199,Position of pulse wave notch,201468,222276,Complete,Integer,"",Data,Auxiliary,Unisex,3,1,,position of the notch A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. This is the time when when notch occurs in the waveform.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4199
UK Biobank Assessment Centre > Physical measures > Arterial stiffness,100007,4200,Position of the shoulder on the pulse waveform,201468,222276,Complete,Integer,"",Data,Auxiliary,Unisex,3,1,,position of the shoulder on the waveform A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. This field is the time of the shoulder like curve in the waveform.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4200
UK Biobank Assessment Centre > Physical measures > Arterial stiffness,100007,4204,Absence of notch position in the pulse waveform,201468,222276,Complete,Categorical single,"",Data,Auxiliary,Unisex,3,1,12,Has value true if there is no notch position in the waveform,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4204
UK Biobank Assessment Centre > Physical measures > Arterial stiffness,100007,4205,Pulse wave pressure versus time response curve,201468,222276,Complete,Compound,"",Data,Primary,Unisex,3,1,,"Wave data containing 3 waveforms, each consisting of one direct and one reflected component. A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. Each waveform is actually a single pulse with 100 points. Since the heart rate is in beats per minute, a single beat takes 60seconds / Heart Rate and time between two beats is (60/Heart Rate)/100. The data is formatted as follows:  The first number (i.e. digits before the first '|' character)indicate the number of points X,Y for the curve.  Each pair of X,Y values is separated by a '|' character from the preceding/succeeding pair.  Each pair of X,Y values is separated internally by a ',' character. The X-axis is the time in milliseconds and the Y-axis is the Pulse signal strength in arbitrary units.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4205
UK Biobank Assessment Centre > Physical measures > Arterial stiffness,100007,4206,Arterial stiffness device ID,204246,225741,Complete,Text,"",Data,Auxiliary,Unisex,3,1,,UKB ID number of the instrument that was used to perform stiffness test.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4206
UK Biobank Assessment Centre > Physical measures > Arterial stiffness,100007,4207,Pulse wave velocity (manual entry),236,236,Complete,Continuous,m/s,Data,Primary,Unisex,3,1,,Velocity (manual entry),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4207
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4229,Triplet played (left),199292,3268174,Complete,Text,"",Data,Primary,Unisex,3,15,,This is the triplet played in each round of the hearing test (left ear),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4229
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4230,Signal-to-noise-ratio (SNR) of triplet (left),199292,3268174,Complete,Integer,"",Data,Primary,Unisex,3,15,,This is the signal-to-noise ratio for each round (left ear),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4230
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4232,Triplet correct (left),198872,3265413,Complete,Categorical single,"",Data,Primary,Unisex,3,15,29,This denotes whether the triplet in each round was correctly heard and entered by the participant (left ear),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4232
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4233,"Mean signal-to-noise ratio (SNR), (left)",198872,3265413,Complete,Continuous,"",Data,Primary,Unisex,3,15,,"This is the mean signal-to-noise ratio for rounds 8 onwards (left ear). The triplets played in rounds 1-5 represent the 'hunting phase' where the SNR change is 2 levels (equivalent to 4 dB) harder following a correct response and 2 levels easier following a wrong response, as opposed to a change of 1 level (2 dB) in rounds 8 to 15. Value is stored as -99999 for rounds 1-7.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4233
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4234,Time to press first digit (left),198872,3265413,Complete,Integer,deciseconds,Data,Auxiliary,Unisex,3,15,,This is the time taken to press the first digit on the touchscreen in each round (left ear). This should not be used as a marker of reaction time as participants were not explicitly instructed to complete the test as quickly as possible.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4234
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4235,Time to press last digit (left),198872,3265413,Complete,Integer,deciseconds,Data,Auxiliary,Unisex,3,15,,This is the time taken to press the last digit on the touchscreen in each round (left ear). This should not be used as a marker of reaction time as participants were not explicitly instructed to complete the test as quickly as possible.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4235
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4236,Triplet entered (left),198872,3265413,Complete,Text,"",Data,Primary,Unisex,3,15,,This is the triplet entered by the participant for each round (left ear).,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4236
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4237,Time to press 'next' (left),198872,3265413,Complete,Integer,deciseconds,Data,Auxiliary,Unisex,3,15,17,This is the time taken to press the 'next' key on the touchscreen in each round since the triplet played (left ear). This should not be used as a marker of reaction time as participants were not explicity instructed to complete the test as quickly we possible.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4237
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4238,Keystroke history (left),199292,3268174,Complete,Text,"",Data,Auxiliary,Unisex,3,15,,This is the keystroke history for the hearing test (left ear),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4238
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4239,Number of times 'clear' was pressed (left),199292,3268174,Complete,Integer,"",Data,Auxiliary,Unisex,3,15,,This is the number of times the 'clear' key was pressed to reset the triplet entry during the hearing test for the left ear.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4239
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4240,Triplet played (right),199365,3268920,Complete,Text,"",Data,Primary,Unisex,3,15,,This is the triplet played in each round of the hearing test (right ear),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4240
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4241,Signal-to-noise-ratio (SNR) of triplet (right),199365,3268920,Complete,Integer,"",Data,Primary,Unisex,3,15,,This is the signal-to-noise ratio for each round (right ear),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4241
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4242,Triplet entered (right),198951,3266180,Complete,Text,"",Data,Primary,Unisex,3,15,,This is the triplet entered by the participant for each round (right ear).,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4242
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4243,Triplet correct (right),198951,3266180,Complete,Categorical single,"",Data,Primary,Unisex,3,15,29,This denotes whether the triplet in each round was correctly heard and entered by the participant (right ear),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4243
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4244,"Mean signal-to-noise ratio (SNR), (right)",198951,3266180,Complete,Continuous,"",Data,Primary,Unisex,3,15,,"This is the mean signal-to-noise ratio for rounds 8 onwards (right ear). The triplets played in rounds 1-5 represent the 'hunting phase' where the SNR change is 2 levels (equivalent to 4 dB) harder following a correct response and 2 levels easier following a wrong response, as opposed to a change of 1 level (2 dB) in rounds 8 to 15. Value is stored as -99999 for rounds 1-7.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4244
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4245,Time to press first digit (right),198951,3266180,Complete,Integer,deciseconds,Data,Auxiliary,Unisex,3,15,,This is the time taken to press the first digit on the touchscreen in each round (right ear). This should not be used as a marker of reaction time as participants were not explicitly instructed to complete the test as quickly as possible.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4245
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4246,Time to press last digit (right),198951,3266180,Complete,Integer,deciseconds,Data,Auxiliary,Unisex,3,15,,This is the time taken to press the last digit on the touchscreen in each round (right ear). This should not be used as a marker of reaction time as participants were not explicitly instructed to complete the test as quickly as possible.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4246
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4247,Time to press 'next' (right),198951,3266180,Complete,Integer,deciseconds,Data,Auxiliary,Unisex,3,15,17,This is the time taken to press the 'next' key on the touchscreen in each round since the triplet played (right ear). This should not be used as a marker of reaction time as participants were not explicity instructed to complete the test as quickly we possible.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4247
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4248,Keystroke history (right),199365,3268920,Complete,Text,"",Data,Auxiliary,Unisex,3,15,,This is the keystroke history for the hearing test (right ear),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4248
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4249,Number of times 'clear' was pressed (right),199365,3268920,Complete,Integer,"",Data,Auxiliary,Unisex,3,15,,This is the number of times the 'clear' key was pressed to reset the triplet entry during the hearing test for the right ear.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4249
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4250,Number of digits to be memorised/recalled,70683,596557,Complete,Integer,"",Data,Auxiliary,Unisex,3,16,,This is the length of the number shown to the participant. The length was capped at 12 digits.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4250
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4251,Target number to be memorised,70679,596551,Complete,Text,"",Data,Auxiliary,Unisex,3,16,,The number displayed to the participant.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4251
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4252,Target number to be entered,70679,596551,Complete,Text,milliseconds,Data,Auxiliary,Unisex,3,16,,This is the number the participant was expected to enter - the reverse of ~F4251~,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4252
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4253,Time number displayed for,70679,596551,Complete,Integer,milliseconds,Data,Auxiliary,Unisex,3,16,,The time the number to be memorised was visible to the participant.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4253
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4254,Time first key touched,70666,596474,Complete,Integer,milliseconds,Data,Auxiliary,Unisex,3,16,,When the participant touched the first key while entering a remembered number.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4254
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4255,Time last key touched,70666,596474,Complete,Integer,milliseconds,Data,Auxiliary,Unisex,3,16,,When the participant touched the last key while entering a remembered number.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4255
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4256,Time elapsed,70666,596474,Complete,Integer,milliseconds,Data,Supporting,Unisex,3,16,,This is the time the participant had been using the touchscreen before beginning the numeric memory test.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4256
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4257,Keystroke history,70683,596557,Complete,Text,"",Data,Auxiliary,Unisex,3,16,,"This records the actual keys touched by the participant while entering a number, including edits/deletions.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4257
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4258,Number entered by participant,70666,596474,Complete,Text,"",Data,Primary,Unisex,3,16,,This is the number entered by participant in each round.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4258
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4259,Digits entered correctly,70666,596474,Complete,Categorical single,"",Data,Primary,Unisex,3,16,29,Indicates whether the participant correctly entered all the digits in reverse order. This is true if ~F4252~ is equal to ~F4258~,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4259
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4260,Round of numeric memory test,70683,596557,Complete,Integer,"",Data,Primary,Unisex,3,16,,Indicates which round of the numeric memory test the associated results belong to.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4260
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4268,Completion status (left),200986,222761,Complete,Categorical single,"",Data,Primary,Unisex,3,1,30,"This denotes whether the hearing test was not-started, abandoned or completed (left ear).",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4268
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4269,Number of triplets attempted (left),200986,222761,Complete,Integer,"",Data,Primary,Unisex,3,1,,"This is the number of triplet rounds attempted (0-15), for the left ear.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4269
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4270,Volume level set by participant (left),199292,220858,Complete,Categorical single,"",Data,Primary,Unisex,3,1,15,Volume level set by participant for left ear as a percentage of the maximum volume. Note that these value do not have some absolute correspondence to a dB scale as the maximum volume could vary between pieces of equipment and the choice might have been influenced by the level of background noise in the touchscreen area.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4270
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4272,Duration of hearing test (left),200986,222761,Complete,Integer,deciseconds,Data,Auxiliary,Unisex,3,1,,This is the total duration of the hearing test for the left ear. This should not be used as a marker of reaction time as participants were not explicity instructed to complete the test as quickly as possible.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4272
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4275,Completion status (right),201116,222912,Complete,Categorical single,"",Data,Primary,Unisex,3,1,30,"This denotes whether the hearing test was not-started, abandoned or completed (right ear).",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4275
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4276,Number of triplets attempted (right),201116,222912,Complete,Integer,"",Data,Primary,Unisex,3,1,,"This is the number of triplet rounds attempted (0-15), for the right ear.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4276
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4277,Volume level set by participant (right),199365,220934,Complete,Categorical single,"",Data,Primary,Unisex,3,1,15,Volume level set by participant for right ear as a percentage of the maximum volume. Note that these value do not have some absolute correspondence to a dB scale as the maximum volume could vary between pieces of equipment and the choice might have been influenced by the level of background noise in the touchscreen area.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4277
UK Biobank Assessment Centre > Physical measures > Hearing test,100049,4279,Duration of hearing test (right),201116,222912,Complete,Integer,"",Data,Auxiliary,Unisex,3,1,,This is the total duration of the hearing test for the left ear. This should not be used as a marker of reaction time as participants were not explicity instructed to complete the test as quickly as possible.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4279
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4281,Completion status of numeric memory test,70864,73290,Complete,Categorical single,"",Data,Primary,Unisex,3,1,31,Completion status of numeric memory test,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4281
UK Biobank Assessment Centre > Cognitive function > Numeric memory,100029,4282,Maximum digits remembered correctly,70864,73290,Complete,Integer,"",Data,Primary,Unisex,3,1,100696,Longest number correctly recalled during the numeric memory test. A value of -1 is recorded if the participant chose to abandon the test before completing the first round.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4282
