#FieldID	Field	Category	UKBCategoryTreePath
20215	Scout images for brain scans - DICOM	Scout images and configuration for brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > Scout images and configuration for brain MRI
20216	T1 structural brain images - DICOM	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI
20217	Functional brain images - task - DICOM	Task functional brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI
20218	Multiband diffusion brain images - DICOM	Diffusion brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI
20219	Susceptibility weighted brain images - DICOM	Susceptibility weighted brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI
20220	T2 FLAIR structural brain images - DICOM	T2-weighted brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T2-weighted brain MRI
20221	T2/PD brain images - DICOM	T2-weighted brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T2-weighted brain MRI
20222	Carotid artery ultrasound image (left)	Carotid ultrasound	UK Biobank Assessment Centre > Physical measures > Carotid ultrasound
20223	Carotid artery ultrasound image (right)	Carotid ultrasound	UK Biobank Assessment Centre > Physical measures > Carotid ultrasound
20224	Phoenix - DICOM	Scout images and configuration for brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > Scout images and configuration for brain MRI
20225	Functional brain images - resting - DICOM	Resting functional brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > Resting functional brain MRI
20226	Carotid artery ultrasound report	Carotid ultrasound	UK Biobank Assessment Centre > Physical measures > Carotid ultrasound
20227	Functional brain images - resting - NIFTI	Resting functional brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > Resting functional brain MRI
20229	Values entered	Cognitive function	Online follow-up > Cognitive function online > Symbol digit substitution
20230	Duration to entering value	Cognitive function	Online follow-up > Cognitive function online > Symbol digit substitution
20240	Maximum digits remembered correctly	Cognitive function	Online follow-up > Cognitive function online > Numeric memory
20241	Raw carotid device data	Carotid ultrasound	UK Biobank Assessment Centre > Physical measures > Carotid ultrasound
20242	Fluid intelligence completion status	Cognitive function	Online follow-up > Cognitive function online > Fluid intelligence / reasoning
20244	Pairs matching completion status	Cognitive function	Online follow-up > Cognitive function online > Pairs matching
20245	Symbol digit completion status	Cognitive function	Online follow-up > Cognitive function online > Symbol digit substitution
20246	Trail making completion status	Cognitive function	Online follow-up > Cognitive function online > Trail making
20247	Total errors traversing numeric path (trail #1)	Cognitive function	Online follow-up > Cognitive function online > Trail making
20248	Total errors traversing alphanumeric path (trail #2)	Cognitive function	Online follow-up > Cognitive function online > Trail making
20249	Functional brain images - task - NIFTI	Task functional brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI
20250	Multiband diffusion brain images - NIFTI	Diffusion brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI
20251	Susceptibility weighted brain images - NIFTI	Susceptibility weighted brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI
20252	T1 structural brain images - NIFTI	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI
20253	T2 FLAIR structural brain images - NIFTI	T2-weighted brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T2-weighted brain MRI
20254	Liver images - IDEAL protocol - DICOM	Abdominal MRI	UK Biobank Assessment Centre > Imaging > Abdominal MRI > Liver MRI
20255	Spirometry QC measure	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
20256	Forced expiratory volume in 1-second (FEV1) Z-score	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
20257	Forced vital capacity (FVC) Z-score	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
20258	FEV1/ FVC ratio Z-score	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
20259	Pancreas Images - ShMoLLI - DICOM	Abdominal MRI	UK Biobank Assessment Centre > Imaging > Abdominal MRI > Pancreas MRI
20260	Pancreas Images - gradient echo - DICOM	Abdominal MRI	UK Biobank Assessment Centre > Imaging > Abdominal MRI > Pancreas MRI
20261	avMSE	Eye measures	UK Biobank Assessment Centre > Physical measures > Eye measures > Visual acuity
20262	Myopia diagnosis	Eye measures	UK Biobank Assessment Centre > Physical measures > Eye measures > Visual acuity
20263	T1 surface model files and additional structural segmentations	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI
20277	Job code at visit	Employment	UK Biobank Assessment Centre > Verbal interview > Employment
20400	Date of completing mental health questionnaire	Mental health	Online follow-up > Mental health
20401	Ever addicted to any substance or behaviour	Mental health	Online follow-up > Mental health > Addictions
20403	Amount of alcohol drunk on a typical drinking day	Mental health	Online follow-up > Mental health > Alcohol use
20404	Ever physically dependent on alcohol	Mental health	Online follow-up > Mental health > Addictions
20405	Ever had known person concerned about, or recommend reduction of, alcohol consumption	Mental health	Online follow-up > Mental health > Alcohol use
20406	Ever addicted to alcohol	Mental health	Online follow-up > Mental health > Addictions
20407	Frequency of failure to fulfil normal expectations due to drinking alcohol in last year	Mental health	Online follow-up > Mental health > Alcohol use
20408	Frequency of memory loss due to drinking alcohol in last year	Mental health	Online follow-up > Mental health > Alcohol use
20409	Frequency of feeling guilt or remorse after drinking alcohol in last year	Mental health	Online follow-up > Mental health > Alcohol use
20410	Age when known person last commented about drinking habits	Mental health	Online follow-up > Mental health > Alcohol use
20411	Ever been injured or injured someone else through drinking alcohol	Mental health	Online follow-up > Mental health > Alcohol use
20412	Frequency of needing morning drink of alcohol after heavy drinking session in last year	Mental health	Online follow-up > Mental health > Alcohol use
20413	Frequency of inability to cease drinking in last year	Mental health	Online follow-up > Mental health > Alcohol use
20414	Frequency of drinking alcohol	Mental health	Online follow-up > Mental health > Alcohol use
20415	Ongoing addiction to alcohol	Mental health	Online follow-up > Mental health > Addictions
20416	Frequency of consuming six or more units of alcohol	Mental health	Online follow-up > Mental health > Alcohol use
20417	Tense, sore, or aching muscles during worst period of anxiety	Mental health	Online follow-up > Mental health > Anxiety
20418	Impact on normal roles during worst period of anxiety	Mental health	Online follow-up > Mental health > Anxiety
20419	Difficulty concentrating during worst period of anxiety	Mental health	Online follow-up > Mental health > Anxiety
20420	Longest period spent worried or anxious	Mental health	Online follow-up > Mental health > Anxiety
20421	Ever felt worried, tense, or anxious for most of a month or longer	Mental health	Online follow-up > Mental health > Anxiety
20422	More irritable than usual during worst period of anxiety	Mental health	Online follow-up > Mental health > Anxiety
20423	Keyed up or on edge during worst period of anxiety	Mental health	Online follow-up > Mental health > Anxiety
20425	Ever worried more than most people would in similar situation	Mental health	Online follow-up > Mental health > Anxiety
20426	Restless during period of worst anxiety	Mental health	Online follow-up > Mental health > Anxiety
20427	Frequent trouble falling or staying asleep during worst period of anxiety	Mental health	Online follow-up > Mental health > Anxiety
20428	Professional informed about anxiety	Mental health	Online follow-up > Mental health > Anxiety
20429	Easily tired during worst period of anxiety	Mental health	Online follow-up > Mental health > Anxiety
20431	Ever addicted to a behaviour or miscellanous	Mental health	Online follow-up > Mental health > Addictions
20432	Ongoing behavioural or miscellanous addiction	Mental health	Online follow-up > Mental health > Addictions
20433	Age at first episode of depression	Mental health	Online follow-up > Mental health > Depression
20434	Age at last episode of depression	Mental health	Online follow-up > Mental health > Depression
20435	Difficulty concentrating during worst depression	Mental health	Online follow-up > Mental health > Depression
20436	Fraction of day affected during worst episode of depression	Mental health	Online follow-up > Mental health > Depression
20437	Thoughts of death during worst depression	Mental health	Online follow-up > Mental health > Depression
20438	Duration of worst depression	Mental health	Online follow-up > Mental health > Depression
20439	Frequency of depressed days during worst episode of depression	Mental health	Online follow-up > Mental health > Depression
20440	Impact on normal roles during worst period of depression	Mental health	Online follow-up > Mental health > Depression
20441	Ever had prolonged loss of interest in normal activities	Mental health	Online follow-up > Mental health > Depression
20442	Lifetime number of depressed periods	Mental health	Online follow-up > Mental health > Depression
20445	Depression possibly related to childbirth	Mental health	Online follow-up > Mental health > Depression
20446	Ever had prolonged feelings of sadness or depression	Mental health	Online follow-up > Mental health > Depression
20447	Depression possibly related to stressful or traumatic event	Mental health	Online follow-up > Mental health > Depression
20448	Professional informed about depression	Mental health	Online follow-up > Mental health > Depression
20449	Feelings of tiredness during worst episode of depression	Mental health	Online follow-up > Mental health > Depression
20450	Feelings of worthlessness during worst period of depression	Mental health	Online follow-up > Mental health > Depression
20453	Ever taken cannabis	Mental health	Online follow-up > Mental health > Cannabis use
20454	Maximum frequency of taking cannabis	Mental health	Online follow-up > Mental health > Cannabis use
20455	Age when last took cannabis	Mental health	Online follow-up > Mental health > Cannabis use
20456	Ever addicted to illicit or recreational drugs	Mental health	Online follow-up > Mental health > Addictions
20457	Ongoing addiction or dependence on illicit or recreational drugs	Mental health	Online follow-up > Mental health > Addictions
20458	General happiness	Mental health	Online follow-up > Mental health > Happiness and subjective well-being
20459	General happiness with own health	Mental health	Online follow-up > Mental health > Happiness and subjective well-being
20460	Belief that own life is meaningful	Mental health	Online follow-up > Mental health > Happiness and subjective well-being
20461	Age when first had unusual or psychotic experience	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20462	Distress caused by unusual or psychotic experiences	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20463	Ever heard an un-real voice	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20465	Number of times heard an un-real voice	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20466	Ever prescribed a medication for unusual or psychotic experiences	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20467	Frequency of unusual or psychotic experiences in past year	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20468	Ever believed in an un-real conspiracy against self	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20470	Number of times believed in an un-real conspiracy against self	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20471	Ever seen an un-real vision	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20473	Number of times seen an un-real vision	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20474	Ever believed in un-real communications or signs	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20476	Number of times believed in un-real communications or signs	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20477	Ever talked to a health professional about unusual or psychotic experiences	Mental health	Online follow-up > Mental health > Unusual and psychotic experiences
20479	Ever thought that life not worth living	Mental health	Online follow-up > Mental health > Self-harm behaviours
20480	Ever self-harmed	Mental health	Online follow-up > Mental health > Self-harm behaviours
20481	Self-harmed in past year	Mental health	Online follow-up > Mental health > Self-harm behaviours
20482	Number of times self-harmed	Mental health	Online follow-up > Mental health > Self-harm behaviours
20483	Ever attempted suicide	Mental health	Online follow-up > Mental health > Self-harm behaviours
20484	Attempted suicide in past year	Mental health	Online follow-up > Mental health > Self-harm behaviours
20485	Ever contemplated self-harm	Mental health	Online follow-up > Mental health > Self-harm behaviours
20486	Contemplated self-harm in past year	Mental health	Online follow-up > Mental health > Self-harm behaviours
20487	Felt hated by family member as a child	Mental health	Online follow-up > Mental health > Traumatic events
20488	Physically abused by family as a child	Mental health	Online follow-up > Mental health > Traumatic events
20489	Felt loved as a child	Mental health	Online follow-up > Mental health > Traumatic events
20490	Sexually molested as a child	Mental health	Online follow-up > Mental health > Traumatic events
20491	Someone to take to doctor when needed as a child	Mental health	Online follow-up > Mental health > Traumatic events
20492	Longest period of mania or irritability	Mental health	Online follow-up > Mental health > Mania
20493	Severity of problems due to mania or irritability	Mental health	Online follow-up > Mental health > Mania
20494	Felt irritable or had angry outbursts in past month	Mental health	Online follow-up > Mental health > Traumatic events
20495	Avoided activities or situations because of previous stressful experience in past month	Mental health	Online follow-up > Mental health > Traumatic events
20496	Felt distant from other people in past month	Mental health	Online follow-up > Mental health > Traumatic events
20497	Repeated disturbing thoughts of stressful experience in past month	Mental health	Online follow-up > Mental health > Traumatic events
20498	Felt very upset when reminded of stressful experience in past month	Mental health	Online follow-up > Mental health > Traumatic events
20499	Ever sought or received professional help for mental distress	Mental health	Online follow-up > Mental health > Mental distress
20500	Ever suffered mental distress preventing usual activities	Mental health	Online follow-up > Mental health > Mental distress
20501	Ever had period of mania / excitability	Mental health	Online follow-up > Mental health > Mania
20502	Ever had period extreme irritability	Mental health	Online follow-up > Mental health > Mania
20503	Ever addicted to prescription or over-the-counter medication	Mental health	Online follow-up > Mental health > Addictions
20504	Ongoing addiction or dependence to over-the-counter medication	Mental health	Online follow-up > Mental health > Addictions
20505	Recent easy annoyance or irritability	Mental health	Online follow-up > Mental health > Anxiety
20506	Recent feelings or nervousness or anxiety	Mental health	Online follow-up > Mental health > Anxiety
20507	Recent feelings of inadequacy	Mental health	Online follow-up > Mental health > Depression
20508	Recent trouble concentrating on things	Mental health	Online follow-up > Mental health > Depression
20509	Recent inability to stop or control worrying	Mental health	Online follow-up > Mental health > Anxiety
20510	Recent feelings of depression	Mental health	Online follow-up > Mental health > Depression
20511	Recent poor appetite or overeating	Mental health	Online follow-up > Mental health > Depression
20512	Recent feelings of foreboding	Mental health	Online follow-up > Mental health > Anxiety
20513	Recent thoughts of suicide or self-harm	Mental health	Online follow-up > Mental health > Depression
20514	Recent lack of interest or pleasure in doing things	Mental health	Online follow-up > Mental health > Depression
20515	Recent trouble relaxing	Mental health	Online follow-up > Mental health > Anxiety
20516	Recent restlessness	Mental health	Online follow-up > Mental health > Anxiety
20517	Trouble falling or staying asleep, or sleeping too much	Mental health	Online follow-up > Mental health > Depression
20518	Recent changes in speed/amount of moving or speaking	Mental health	Online follow-up > Mental health > Depression
20519	Recent feelings of tiredness or low energy	Mental health	Online follow-up > Mental health > Depression
20520	Recent worrying too much about different things	Mental health	Online follow-up > Mental health > Anxiety
20521	Belittlement by partner or ex-partner as an adult	Mental health	Online follow-up > Mental health > Traumatic events
20522	Been in a confiding relationship as an adult	Mental health	Online follow-up > Mental health > Traumatic events
20523	Physical violence by partner or ex-partner as an adult	Mental health	Online follow-up > Mental health > Traumatic events
20524	Sexual interference by partner or ex-partner without consent as an adult	Mental health	Online follow-up > Mental health > Traumatic events
20525	Able to pay rent/mortgage as an adult	Mental health	Online follow-up > Mental health > Traumatic events
20526	Been in serious accident believed to be life-threatening	Mental health	Online follow-up > Mental health > Traumatic events
20527	Been involved in combat or exposed to war-zone	Mental health	Online follow-up > Mental health > Traumatic events
20528	Diagnosed with life-threatening illness	Mental health	Online follow-up > Mental health > Traumatic events
20529	Victim of physically violent crime	Mental health	Online follow-up > Mental health > Traumatic events
20530	Witnessed sudden violent death	Mental health	Online follow-up > Mental health > Traumatic events
20531	Victim of sexual assault	Mental health	Online follow-up > Mental health > Traumatic events
20532	Did your sleep change?	Mental health	Online follow-up > Mental health > Depression
20533	Trouble falling asleep	Mental health	Online follow-up > Mental health > Depression
20534	Sleeping too much	Mental health	Online follow-up > Mental health > Depression
20535	Waking too early	Mental health	Online follow-up > Mental health > Depression
20536	Weight change during worst episode of depression	Mental health	Online follow-up > Mental health > Depression
20537	Frequency of difficulty controlling worry during worst period of anxiety	Mental health	Online follow-up > Mental health > Anxiety
20538	Worried most days during period of worst anxiety	Mental health	Online follow-up > Mental health > Anxiety
20539	Frequency of inability to stop worrying during worst period of anxiety	Mental health	Online follow-up > Mental health > Anxiety
20540	Multiple worries during worst period of anxiety	Mental health	Online follow-up > Mental health > Anxiety
20541	Difficulty stopping worrying during worst period of anxiety	Mental health	Online follow-up > Mental health > Anxiety
20542	Stronger worrying (than other people) during period of worst anxiety	Mental health	Online follow-up > Mental health > Anxiety
20543	Number of things worried about during worst period of anxiety	Mental health	Online follow-up > Mental health > Anxiety
20544	Mental health problems ever diagnosed by a professional	Mental health	Online follow-up > Mental health > Mental distress
20546	Substances taken for depression	Mental health	Online follow-up > Mental health > Depression
20547	Activities undertaken to treat depression	Mental health	Online follow-up > Mental health > Depression
20548	Manifestations of mania or irritability	Mental health	Online follow-up > Mental health > Mania
20549	Substances taken for anxiety	Mental health	Online follow-up > Mental health > Anxiety
20550	Activities undertaken to treat anxiety	Mental health	Online follow-up > Mental health > Anxiety
20551	Substance of prescription or over-the-counter medication addiction	Mental health	Online follow-up > Mental health > Addictions
20552	Behavioural and miscellaneous addictions	Mental health	Online follow-up > Mental health > Addictions
20553	Methods of self-harm used	Mental health	Online follow-up > Mental health > Self-harm behaviours
20554	Actions taken following self-harm	Mental health	Online follow-up > Mental health > Self-harm behaviours
20599	Order of asking questions	Food (and other) preferences	Online follow-up > Food (and other) preferences
20600	Liking for adding salt to foods	Food (and other) preferences	Online follow-up > Food (and other) preferences
20601	Liking for aniseed	Food (and other) preferences	Online follow-up > Food (and other) preferences
20602	Liking for apple juice	Food (and other) preferences	Online follow-up > Food (and other) preferences
20603	Liking for apples	Food (and other) preferences	Online follow-up > Food (and other) preferences
20604	Liking for asparagus	Food (and other) preferences	Online follow-up > Food (and other) preferences
20605	Liking for aubergine	Food (and other) preferences	Online follow-up > Food (and other) preferences
20606	Liking for avocados	Food (and other) preferences	Online follow-up > Food (and other) preferences
20607	Liking for bacon	Food (and other) preferences	Online follow-up > Food (and other) preferences
20608	Liking for baked/steamed fish	Food (and other) preferences	Online follow-up > Food (and other) preferences
20609	Liking for bananas	Food (and other) preferences	Online follow-up > Food (and other) preferences
20610	Liking for barbequed or grilled meat	Food (and other) preferences	Online follow-up > Food (and other) preferences
20611	Liking for beef steak	Food (and other) preferences	Online follow-up > Food (and other) preferences
20612	Liking for beetroot	Food (and other) preferences	Online follow-up > Food (and other) preferences
20613	Liking for bell pepper	Food (and other) preferences	Online follow-up > Food (and other) preferences
20614	Liking for bicycling	Food (and other) preferences	Online follow-up > Food (and other) preferences
20615	Liking for biscuits	Food (and other) preferences	Online follow-up > Food (and other) preferences
20616	Liking for bitter foods	Food (and other) preferences	Online follow-up > Food (and other) preferences
20617	Liking for bitter/ale	Food (and other) preferences	Online follow-up > Food (and other) preferences
20618	Liking for black olives	Food (and other) preferences	Online follow-up > Food (and other) preferences
20619	Liking for black pepper	Food (and other) preferences	Online follow-up > Food (and other) preferences
20620	Liking for blue cheese	Food (and other) preferences	Online follow-up > Food (and other) preferences
20621	Liking for bolognese sauce	Food (and other) preferences	Online follow-up > Food (and other) preferences
20622	Liking for broad beans	Food (and other) preferences	Online follow-up > Food (and other) preferences
20623	Liking for broccoli	Food (and other) preferences	Online follow-up > Food (and other) preferences
20624	Liking for brown rice	Food (and other) preferences	Online follow-up > Food (and other) preferences
20625	Liking for brussel sprouts	Food (and other) preferences	Online follow-up > Food (and other) preferences
20626	Liking for burgers (meat)	Food (and other) preferences	Online follow-up > Food (and other) preferences
20627	Liking for burn of spicy foods	Food (and other) preferences	Online follow-up > Food (and other) preferences
20628	Liking for butter on bread	Food (and other) preferences	Online follow-up > Food (and other) preferences
20629	Liking for butternut squash	Food (and other) preferences	Online follow-up > Food (and other) preferences
20630	Liking for cabbage	Food (and other) preferences	Online follow-up > Food (and other) preferences
20631	Liking for cake	Food (and other) preferences	Online follow-up > Food (and other) preferences
20632	Liking for cake icing	Food (and other) preferences	Online follow-up > Food (and other) preferences
20633	Liking for capers	Food (and other) preferences	Online follow-up > Food (and other) preferences
20634	Liking for cauliflower	Food (and other) preferences	Online follow-up > Food (and other) preferences
20635	Liking for cereal/granola bar	Food (and other) preferences	Online follow-up > Food (and other) preferences
20636	Liking for cheesecake	Food (and other) preferences	Online follow-up > Food (and other) preferences
20637	Liking for cherries	Food (and other) preferences	Online follow-up > Food (and other) preferences
20638	Liking for chicken	Food (and other) preferences	Online follow-up > Food (and other) preferences
20639	Liking for chilli pepper	Food (and other) preferences	Online follow-up > Food (and other) preferences
20640	Liking for chips/french fries	Food (and other) preferences	Online follow-up > Food (and other) preferences
20641	Liking for cigarette smoking	Food (and other) preferences	Online follow-up > Food (and other) preferences
20642	Liking for cod	Food (and other) preferences	Online follow-up > Food (and other) preferences
20643	Liking for coffee with sugar	Food (and other) preferences	Online follow-up > Food (and other) preferences
20644	Liking for coffee without sugar	Food (and other) preferences	Online follow-up > Food (and other) preferences
20645	Liking for coriander	Food (and other) preferences	Online follow-up > Food (and other) preferences
20646	Liking for corn flakes	Food (and other) preferences	Online follow-up > Food (and other) preferences
20647	Liking for cream	Food (and other) preferences	Online follow-up > Food (and other) preferences
20648	Liking for croissant	Food (and other) preferences	Online follow-up > Food (and other) preferences
20649	Liking for cucumber	Food (and other) preferences	Online follow-up > Food (and other) preferences
20650	Liking for curry	Food (and other) preferences	Online follow-up > Food (and other) preferences
20651	Liking for dairy products	Food (and other) preferences	Online follow-up > Food (and other) preferences
20652	Liking for dark chocolate	Food (and other) preferences	Online follow-up > Food (and other) preferences
20653	Liking for diet fizzy drinks	Food (and other) preferences	Online follow-up > Food (and other) preferences
20654	Liking for dried fruit	Food (and other) preferences	Online follow-up > Food (and other) preferences
20655	Liking for eggs	Food (and other) preferences	Online follow-up > Food (and other) preferences
20656	Liking for exercising alone	Food (and other) preferences	Online follow-up > Food (and other) preferences
20657	Liking for exercising with others	Food (and other) preferences	Online follow-up > Food (and other) preferences
20658	Liking for extra virgin olive oil	Food (and other) preferences	Online follow-up > Food (and other) preferences
20659	Liking for fatty foods	Food (and other) preferences	Online follow-up > Food (and other) preferences
20660	Liking for fresh tomatoes	Food (and other) preferences	Online follow-up > Food (and other) preferences
20661	Liking for fried chicken	Food (and other) preferences	Online follow-up > Food (and other) preferences
20662	Liking for fried/battered fish	Food (and other) preferences	Online follow-up > Food (and other) preferences
20663	Liking for fruit	Food (and other) preferences	Online follow-up > Food (and other) preferences
20664	Liking for garlic	Food (and other) preferences	Online follow-up > Food (and other) preferences
20665	Liking for gherkins	Food (and other) preferences	Online follow-up > Food (and other) preferences
20666	Liking for globe artichoke	Food (and other) preferences	Online follow-up > Food (and other) preferences
20667	Liking for goat's cheese	Food (and other) preferences	Online follow-up > Food (and other) preferences
20668	Liking for going to a cafe	Food (and other) preferences	Online follow-up > Food (and other) preferences
20669	Liking for going to the gym	Food (and other) preferences	Online follow-up > Food (and other) preferences
20670	Liking for going to the pub	Food (and other) preferences	Online follow-up > Food (and other) preferences
20671	Liking for grapefruit	Food (and other) preferences	Online follow-up > Food (and other) preferences
20672	Liking for green olives	Food (and other) preferences	Online follow-up > Food (and other) preferences
20673	Liking for haddock	Food (and other) preferences	Online follow-up > Food (and other) preferences
20674	Liking for ham	Food (and other) preferences	Online follow-up > Food (and other) preferences
20675	Liking for hard cheese	Food (and other) preferences	Online follow-up > Food (and other) preferences
20676	Liking for herring	Food (and other) preferences	Online follow-up > Food (and other) preferences
20677	Liking for honey	Food (and other) preferences	Online follow-up > Food (and other) preferences
20678	Liking for horseradish/wasabi	Food (and other) preferences	Online follow-up > Food (and other) preferences
20679	Liking for ice cream	Food (and other) preferences	Online follow-up > Food (and other) preferences
20680	Liking for jam	Food (and other) preferences	Online follow-up > Food (and other) preferences
20681	Liking for kiwi fruit	Food (and other) preferences	Online follow-up > Food (and other) preferences
20682	Liking for lager	Food (and other) preferences	Online follow-up > Food (and other) preferences
20683	Liking for lamb	Food (and other) preferences	Online follow-up > Food (and other) preferences
20684	Liking for lemons	Food (and other) preferences	Online follow-up > Food (and other) preferences
20685	Liking for lentils/beans	Food (and other) preferences	Online follow-up > Food (and other) preferences
20686	Liking for liver	Food (and other) preferences	Online follow-up > Food (and other) preferences
20687	Liking for mackerel	Food (and other) preferences	Online follow-up > Food (and other) preferences
20688	Liking for marzipan	Food (and other) preferences	Online follow-up > Food (and other) preferences
20689	Liking for mayonnaise	Food (and other) preferences	Online follow-up > Food (and other) preferences
20690	Liking for melon	Food (and other) preferences	Online follow-up > Food (and other) preferences
20691	Liking for milk chocolate	Food (and other) preferences	Online follow-up > Food (and other) preferences
20692	Liking for mushrooms	Food (and other) preferences	Online follow-up > Food (and other) preferences
20693	Liking for onions	Food (and other) preferences	Online follow-up > Food (and other) preferences
20694	Liking for orange juice	Food (and other) preferences	Online follow-up > Food (and other) preferences
20695	Liking for oranges	Food (and other) preferences	Online follow-up > Food (and other) preferences
20696	Liking for pasta	Food (and other) preferences	Online follow-up > Food (and other) preferences
20697	Liking for pears	Food (and other) preferences	Online follow-up > Food (and other) preferences
20698	Liking for pizza	Food (and other) preferences	Online follow-up > Food (and other) preferences
20699	Liking for plain yogurt	Food (and other) preferences	Online follow-up > Food (and other) preferences
20700	Liking for plums	Food (and other) preferences	Online follow-up > Food (and other) preferences
20701	Liking for pollock	Food (and other) preferences	Online follow-up > Food (and other) preferences
20702	Liking for pork chop	Food (and other) preferences	Online follow-up > Food (and other) preferences
20703	Liking for porridge	Food (and other) preferences	Online follow-up > Food (and other) preferences
20704	Liking for potato crisps	Food (and other) preferences	Online follow-up > Food (and other) preferences
20705	Liking for potatoes	Food (and other) preferences	Online follow-up > Food (and other) preferences
20706	Liking for prawns	Food (and other) preferences	Online follow-up > Food (and other) preferences
20707	Liking for raw carrots	Food (and other) preferences	Online follow-up > Food (and other) preferences
20708	Liking for red meat	Food (and other) preferences	Online follow-up > Food (and other) preferences
20709	Liking for red wine	Food (and other) preferences	Online follow-up > Food (and other) preferences
20710	Liking for regular (non-diet) fizzy drinks	Food (and other) preferences	Online follow-up > Food (and other) preferences
20711	Liking for roast chicken	Food (and other) preferences	Online follow-up > Food (and other) preferences
20712	Liking for salad dressing	Food (and other) preferences	Online follow-up > Food (and other) preferences
20713	Liking for salad leaves	Food (and other) preferences	Online follow-up > Food (and other) preferences
20714	Liking for salami	Food (and other) preferences	Online follow-up > Food (and other) preferences
20715	Liking for salmon	Food (and other) preferences	Online follow-up > Food (and other) preferences
20716	Liking for salty foods	Food (and other) preferences	Online follow-up > Food (and other) preferences
20717	Liking for salty pretzels	Food (and other) preferences	Online follow-up > Food (and other) preferences
20718	Liking for sardines	Food (and other) preferences	Online follow-up > Food (and other) preferences
20719	Liking for sausages (meat)	Food (and other) preferences	Online follow-up > Food (and other) preferences
20720	Liking for savoury biscuits	Food (and other) preferences	Online follow-up > Food (and other) preferences
20721	Liking for shellfish (other than prawns)	Food (and other) preferences	Online follow-up > Food (and other) preferences
20722	Liking for skimmed milk	Food (and other) preferences	Online follow-up > Food (and other) preferences
20723	Liking for smoked fish	Food (and other) preferences	Online follow-up > Food (and other) preferences
20724	Liking for soft cheese	Food (and other) preferences	Online follow-up > Food (and other) preferences
20725	Liking for soy sauce	Food (and other) preferences	Online follow-up > Food (and other) preferences
20726	Liking for soya milk	Food (and other) preferences	Online follow-up > Food (and other) preferences
20727	Liking for spicy foods	Food (and other) preferences	Online follow-up > Food (and other) preferences
20728	Liking for spinach	Food (and other) preferences	Online follow-up > Food (and other) preferences
20729	Liking for spirits	Food (and other) preferences	Online follow-up > Food (and other) preferences
20730	Liking for strawberries	Food (and other) preferences	Online follow-up > Food (and other) preferences
20731	Liking for sweet coffee house drinks	Food (and other) preferences	Online follow-up > Food (and other) preferences
20732	Liking for sweet foods	Food (and other) preferences	Online follow-up > Food (and other) preferences
20733	Liking for taking the stairs	Food (and other) preferences	Online follow-up > Food (and other) preferences
20734	Liking for tea with sugar	Food (and other) preferences	Online follow-up > Food (and other) preferences
20735	Liking for tea without sugar	Food (and other) preferences	Online follow-up > Food (and other) preferences
20736	Liking for tomato ketchup	Food (and other) preferences	Online follow-up > Food (and other) preferences
20737	Liking for tinned tuna	Food (and other) preferences	Online follow-up > Food (and other) preferences
20738	Liking for turnip (white)	Food (and other) preferences	Online follow-up > Food (and other) preferences
20739	Liking for vegetables	Food (and other) preferences	Online follow-up > Food (and other) preferences
20740	Liking for vinegar	Food (and other) preferences	Online follow-up > Food (and other) preferences
20741	Liking for watching television	Food (and other) preferences	Online follow-up > Food (and other) preferences
